trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,first_image.started,first_image.stopped,secondimage.started,secondimage.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.955030375000206,11.470934417004173,11.470934417004173,11.96204674999899,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
1,0,1,0,11.96204674999899,12.455104334003408,12.455104334003408,12.951491125000757,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
2,0,2,0,12.951491125000757,13.451316167003824,13.451316167003824,13.947101875004591,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
3,0,3,0,13.947101875004591,14.445640375000949,14.445640375000949,14.936615334001544,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
4,0,4,0,14.936615334001544,15.428662124999391,15.428662124999391,15.91994925000472,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
5,0,5,0,15.91994925000472,16.412129292002646,16.412129292002646,16.912638750000042,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
6,0,6,0,16.912638750000042,17.41238062499906,17.41238062499906,17.914834292001615,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
7,0,7,0,17.914834292001615,18.41421716700279,18.41421716700279,18.911584542001947,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
8,0,8,0,18.911584542001947,19.412188667003647,19.412188667003647,19.903429250000045,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
9,0,9,0,19.903429250000045,20.393326249999518,20.393326249999518,20.88890991700464,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
10,0,10,0,20.88890991700464,21.381612750003114,21.381612750003114,21.879475959001866,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
11,0,11,0,21.879475959001866,22.37005854200106,22.37005854200106,22.863122000002477,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
12,0,12,0,22.863122000002477,23.363005167004303,23.363005167004303,23.856254999998782,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
13,0,13,0,23.856254999998782,24.353919417000725,24.353919417000725,24.84624299999996,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
14,0,14,0,24.84624299999996,25.33700887500163,25.33700887500163,25.830478167001274,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
15,0,15,0,25.830478167001274,26.328755583999737,26.328755583999737,26.825159792002523,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
16,0,16,0,26.825159792002523,27.320021125000494,27.320021125000494,27.812955875000625,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
17,0,17,0,27.812955875000625,28.312398459005635,28.312398459005635,28.81320675000461,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
18,0,18,0,28.81320675000461,29.31153508400166,29.31153508400166,29.803495667001698,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
19,0,19,0,29.803495667001698,30.295656583999516,30.295656583999516,30.789729167001497,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
20,0,20,0,30.789729167001497,31.28695824999886,31.28695824999886,31.780476584004646,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
21,0,21,0,31.780476584004646,32.2785870000007,32.2785870000007,32.770217875004164,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
22,0,22,0,32.770217875004164,33.262678042003245,33.262678042003245,33.76227179200214,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
23,0,23,0,33.76227179200214,34.26260070900025,34.26260070900025,34.75574208400212,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
24,0,24,0,34.75574208400212,35.2479242920017,35.2479242920017,35.745851917003165,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
25,0,25,0,35.745851917003165,36.24532120900403,36.24532120900403,36.73678787500103,334389,001,2023-03-19_07h49.46.779,veo,2022.2.4,None,
