trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,first_image.started,first_image.stopped,secondimage.started,secondimage.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.490103374999308,9.983135875001608,9.983135875001608,10.477195625004242,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
1,0,1,0,10.477195625004242,10.974318332999246,10.974318332999246,11.467946916003712,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
2,0,2,0,11.467946916003712,11.966581708002195,11.966581708002195,12.45961254100257,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
3,0,3,0,12.45961254100257,12.957996249999269,12.957996249999269,13.451670916001603,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
4,0,4,0,13.451670916001603,13.950075666005432,13.950075666005432,14.443208708005841,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
5,0,5,0,14.443208708005841,14.9417435830037,14.9417435830037,15.444109957999899,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
6,0,6,0,15.444109957999899,15.94222666600399,15.94222666600399,16.44301895800163,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
7,0,7,0,16.44301895800163,16.94098562500585,16.94098562500585,17.43420579100348,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
8,0,8,0,17.43420579100348,17.92474904100527,17.92474904100527,18.41821300000447,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
9,0,9,0,18.41821300000447,18.91699779099872,18.91699779099872,19.407612375005556,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
10,0,10,0,19.407612375005556,19.900500875002763,19.900500875002763,20.39309954100463,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
11,0,11,0,20.39309954100463,20.89130504100467,20.89130504100467,21.383856915999786,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
12,0,12,0,21.383856915999786,21.874341791000916,21.874341791000916,22.368073208002897,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
13,0,13,0,22.368073208002897,22.858739666000474,22.858739666000474,23.36008754100476,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
14,0,14,0,23.36008754100476,23.858580125001026,23.858580125001026,24.35999566600367,710914,001,2023-03-19_07h39.00.037,veo,2022.2.4,None,
,,,,24.35999566600367,,,,,,,,,,
