trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,first_image.started,first_image.stopped,secondimage.started,secondimage.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.923054958002467,9.08608208300575,9.08608208300575,9.245636208004726,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
1,0,1,0,9.245636208004726,9.403657542003202,9.403657542003202,9.562668708000274,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
2,0,2,0,9.562668708000274,9.720275625004433,9.720275625004433,9.878568167005142,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
3,0,3,0,9.878568167005142,10.036702958001115,10.036702958001115,10.20581908299937,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
4,0,4,0,10.20581908299937,10.379040542000439,10.379040542000439,10.538437041999714,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
5,0,5,0,10.538437041999714,10.70389866700134,10.70389866700134,10.863291583002137,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
6,0,6,0,10.863291583002137,11.02009141700546,11.02009141700546,11.178782625000167,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
7,0,7,0,11.178782625000167,11.337318666999636,11.337318666999636,11.505228750000242,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
8,0,8,0,11.505228750000242,11.669721875005052,11.669721875005052,11.828889750002418,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
9,0,9,0,11.828889750002418,11.987608499999624,11.987608499999624,12.145990042001358,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
10,0,10,0,12.145990042001358,12.312826375004079,12.312826375004079,12.471354792003694,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
11,0,11,0,12.471354792003694,12.628871667002386,12.628871667002386,12.788913958000194,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
12,0,12,0,12.788913958000194,12.953519125003368,12.953519125003368,13.112524250005663,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
13,0,13,0,13.112524250005663,13.271152500004973,13.271152500004973,13.429145458001585,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
14,0,14,0,13.429145458001585,13.586923583003227,13.586923583003227,13.746378957999696,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
15,0,15,0,13.746378957999696,13.903787750001356,13.903787750001356,14.061865458003012,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
16,0,16,0,14.061865458003012,14.219334042005357,14.219334042005357,14.379216667002765,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
17,0,17,0,14.379216667002765,14.536926417000359,14.536926417000359,14.695001792002586,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
18,0,18,0,14.695001792002586,14.85368845800258,14.85368845800258,15.012153417002992,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
19,0,19,0,15.012153417002992,15.170386958001473,15.170386958001473,15.329976875000284,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
20,0,20,0,15.329976875000284,15.485471125000913,15.485471125000913,15.645813208000618,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
21,0,21,0,15.645813208000618,15.803614208001818,15.803614208001818,15.963097500003641,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
22,0,22,0,15.963097500003641,16.12031120800384,16.12031120800384,16.27853891700215,238602,001,2023-03-19_07h57.04.837,veo,2022.2.4,None,
