trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,newfix.started,newfix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,10.18847008299781,10.18847008299781,10.260759082997538,10.260759082997538,10.260759082997538,10.260759082997538,10.323737667000387,10.323737667000387,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
1,0,1,0,,,,,10.323737667000387,10.323737667000387,10.383627957999124,10.383627957999124,10.383627957999124,10.383627957999124,10.441787542000384,10.441787542000384,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
2,0,2,0,,,,,10.441787542000384,10.441787542000384,10.501498375000665,10.501498375000665,10.501498375000665,10.501498375000665,10.567219749998912,10.567219749998912,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
3,0,3,0,,,,,10.567219749998912,10.567219749998912,10.626026166999509,10.626026166999509,10.626026166999509,10.626026166999509,10.68547079199925,10.68547079199925,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
4,0,4,0,,,,,10.68547079199925,10.68547079199925,10.749641041998984,10.749641041998984,10.749641041998984,10.749641041998984,10.809386749999248,10.809386749999248,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
5,0,5,0,,,,,10.809386749999248,10.809386749999248,10.873939624998457,10.873939624998457,10.873939624998457,10.873939624998457,10.935189374999027,10.935189374999027,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
6,0,6,0,,,,,10.935189374999027,10.935189374999027,11.004180416999588,11.004180416999588,11.004180416999588,11.004180416999588,11.067283332999068,11.067283332999068,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
7,0,7,0,,,,,11.067283332999068,11.067283332999068,11.125274666999758,11.125274666999758,11.125274666999758,11.125274666999758,11.19176966699888,11.19176966699888,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
8,0,8,0,,,,,11.19176966699888,11.19176966699888,11.259255582997866,11.259255582997866,11.259255582997866,11.259255582997866,11.322732874999929,11.322732874999929,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
9,0,9,0,,,,,11.322732874999929,11.322732874999929,11.383819167000183,11.383819167000183,11.383819167000183,11.383819167000183,11.441346707997582,11.441346707997582,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
10,0,10,0,,,,,11.441346707997582,11.441346707997582,11.50649012500071,11.50649012500071,11.50649012500071,11.50649012500071,11.567459124999004,11.567459124999004,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
11,0,11,0,,,,,11.567459124999004,11.567459124999004,11.628096791999269,11.628096791999269,11.628096791999269,11.628096791999269,11.692440708000504,11.692440708000504,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
12,0,12,0,,,,,11.692440708000504,11.692440708000504,11.763129041999491,11.763129041999491,11.763129041999491,11.763129041999491,11.826005499999155,11.826005499999155,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
13,0,13,0,,,,,11.826005499999155,11.826005499999155,11.883670208000694,11.883670208000694,11.883670208000694,11.883670208000694,11.943729457998415,11.943729457998415,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
14,0,14,0,,,,,11.943729457998415,11.943729457998415,12.002239707999252,12.002239707999252,12.002239707999252,12.002239707999252,12.067538625000452,12.067538625000452,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
15,0,15,0,,,,,12.067538625000452,12.067538625000452,12.125890457999049,12.125890457999049,12.125890457999049,12.125890457999049,12.200602375000017,12.200602375000017,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
16,0,16,0,,,,,12.200602375000017,12.200602375000017,12.256907041999511,12.256907041999511,12.256907041999511,12.256907041999511,12.316889957997773,12.316889957997773,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
17,0,17,0,,,,,12.316889957997773,12.316889957997773,12.375441874999524,12.375441874999524,12.375441874999524,12.375441874999524,12.443019999998796,12.443019999998796,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
18,0,18,0,,,,,12.443019999998796,12.443019999998796,12.51324216699868,12.51324216699868,12.51324216699868,12.51324216699868,12.575999707998562,12.575999707998562,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
19,0,19,0,,,,,12.575999707998562,12.575999707998562,12.642008582999551,12.642008582999551,12.642008582999551,12.642008582999551,12.701109207999252,12.701109207999252,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
20,0,20,0,,,,,12.701109207999252,12.701109207999252,12.758417875000305,12.758417875000305,12.758417875000305,12.758417875000305,12.817061957997794,12.817061957997794,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
21,0,21,0,,,,,12.817061957997794,12.817061957997794,12.877988917000039,12.877988917000039,12.877988917000039,12.877988917000039,12.942683166998904,12.942683166998904,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
22,0,22,0,,,,,12.942683166998904,12.942683166998904,13.009002791997773,13.009002791997773,13.009002791997773,13.009002791997773,13.0673992919983,13.0673992919983,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
23,0,23,0,,,,,13.0673992919983,13.0673992919983,13.125556457998755,13.125556457998755,13.125556457998755,13.125556457998755,13.183778082999197,13.183778082999197,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
24,0,24,0,,,,,13.183778082999197,13.183778082999197,13.242868124998495,13.242868124998495,13.242868124998495,13.242868124998495,13.308885250000458,13.308885250000458,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
25,0,25,0,,,,,13.308885250000458,13.308885250000458,13.367170292000083,13.367170292000083,13.367170292000083,13.367170292000083,13.424431499999628,13.424431499999628,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
26,0,26,0,,,,,13.424431499999628,13.424431499999628,13.483676583000488,13.483676583000488,13.483676583000488,13.483676583000488,13.54249783299747,13.54249783299747,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
27,0,27,0,,,,,13.54249783299747,13.54249783299747,13.600429832997179,13.600429832997179,13.600429832997179,13.600429832997179,13.660043457999564,13.660043457999564,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
28,0,28,0,,,,,13.660043457999564,13.660043457999564,13.725694249998924,13.725694249998924,13.725694249998924,13.725694249998924,13.792785082998307,13.792785082998307,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
29,0,29,0,,,,,13.792785082998307,13.792785082998307,13.85867133300053,13.85867133300053,13.85867133300053,13.85867133300053,13.917960124999809,13.917960124999809,,,559698,001,2023-03-18_09h49.02.438,simple VEP,2022.2.4,None,
