1.2446 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.6836 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1080]. Using actual size
9.0363 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.0380 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb0c9423820>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fb0cf20f280>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0384 	EXP 	window1: mouseVisible = True
9.0395 	EXP 	window1: mouseVisible = False
9.0396 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.0396 	EXP 	window1: recordFrameIntervals = False
9.1183 	EXP 	window1: recordFrameIntervals = True
9.9521 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

11.9034 	EXP 	Created stimulus = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='stimulus', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.9089 	EXP 	Created blank = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([0.00392157, 0.00392157, 0.00392157]), fillColorSpace='rgb', fillRGB=array([0.00392157, 0.00392157, 0.00392157]), interpolate=True, lineColor=array([0.00392157, 0.00392157, 0.00392157]), lineColorSpace='rgb', lineRGB=array([0.00392157, 0.00392157, 0.00392157]), lineWidth=1.0, name='blank', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.9156 	EXP 	Imported StimList.xlsx as conditions, 8 conditions, 2 params
11.9177 	EXP 	Created sequence: random, trialTypes=8, nReps=5, seed=None
11.9179 	EXP 	New trial (rep=0, index=0): {'color': 'gray', 'trigger': 2}
11.9270 	WARNING 	t of last frame was 1975.18ms (=1/0)
11.9270 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
11.9270 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
11.9270 	EXP 	stimulus: autoDraw = True
12.1686 	EXP 	stimulus: autoDraw = False
12.1686 	EXP 	blank: autoDraw = True
13.6534 	EXP 	New trial (rep=0, index=1): {'color': 'gray', 'trigger': 2}
13.6641 	EXP 	blank: autoDraw = False
13.6641 	EXP 	blank: autoDraw = False
13.6641 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
13.6641 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
13.6641 	EXP 	stimulus: autoDraw = True
13.9037 	EXP 	stimulus: autoDraw = False
13.9037 	EXP 	stimulus: autoDraw = False
13.9037 	EXP 	blank: autoDraw = True
15.3987 	EXP 	New trial (rep=0, index=2): {'color': 'white', 'trigger': 1}
15.4044 	EXP 	blank: autoDraw = False
15.4044 	EXP 	blank: autoDraw = False
15.4044 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
15.4044 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
15.4044 	EXP 	stimulus: autoDraw = True
15.6525 	EXP 	stimulus: autoDraw = False
15.6525 	EXP 	stimulus: autoDraw = False
15.6525 	EXP 	blank: autoDraw = True
17.1362 	EXP 	New trial (rep=0, index=3): {'color': 'gray', 'trigger': 2}
17.1476 	EXP 	blank: autoDraw = False
17.1476 	EXP 	blank: autoDraw = False
17.1476 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
17.1476 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
17.1522 	EXP 	stimulus: autoDraw = True
17.3976 	EXP 	stimulus: autoDraw = False
17.3976 	EXP 	stimulus: autoDraw = False
17.4020 	EXP 	blank: autoDraw = True
18.8869 	EXP 	New trial (rep=0, index=4): {'color': 'white', 'trigger': 1}
18.8977 	EXP 	blank: autoDraw = False
18.8977 	EXP 	blank: autoDraw = False
18.8977 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
18.8977 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
18.9021 	EXP 	stimulus: autoDraw = True
19.1480 	EXP 	stimulus: autoDraw = False
19.1480 	EXP 	stimulus: autoDraw = False
19.1531 	EXP 	blank: autoDraw = True
20.6375 	EXP 	New trial (rep=0, index=5): {'color': 'white', 'trigger': 1}
20.6477 	EXP 	blank: autoDraw = False
20.6477 	EXP 	blank: autoDraw = False
20.6477 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
20.6477 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
20.6521 	EXP 	stimulus: autoDraw = True
20.8979 	EXP 	stimulus: autoDraw = False
20.8979 	EXP 	stimulus: autoDraw = False
20.9032 	EXP 	blank: autoDraw = True
22.3876 	EXP 	New trial (rep=0, index=6): {'color': 'gray', 'trigger': 2}
22.3977 	EXP 	blank: autoDraw = False
22.3977 	EXP 	blank: autoDraw = False
22.3977 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
22.3977 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
22.4022 	EXP 	stimulus: autoDraw = True
22.6476 	EXP 	stimulus: autoDraw = False
22.6476 	EXP 	stimulus: autoDraw = False
22.6519 	EXP 	blank: autoDraw = True
24.1372 	EXP 	New trial (rep=0, index=7): {'color': 'white', 'trigger': 1}
24.1475 	EXP 	blank: autoDraw = False
24.1475 	EXP 	blank: autoDraw = False
24.1475 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
24.1475 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
24.1520 	EXP 	stimulus: autoDraw = True
24.3978 	EXP 	stimulus: autoDraw = False
24.3978 	EXP 	stimulus: autoDraw = False
24.4022 	EXP 	blank: autoDraw = True
