color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
white,1,0,0,0,0,10.299340916011715,10.54603254099493,12.039428207994206,,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,0,1,1,4,12.039428207994206,12.280534666002495,13.77283758300473,12.280534666002495,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,0,2,2,1,13.778525583009468,14.030726833007066,15.532642958016368,14.023599875014042,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,0,3,3,7,15.532642958016368,15.780810875003226,17.27306129099452,15.780810875003226,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,0,4,4,2,17.280057249998208,17.52929479102022,19.023063458007528,17.523343958018813,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,0,5,5,3,19.029430124995997,19.279978250007844,20.77331329099252,19.273620833002497,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,0,6,6,5,20.779811333020916,21.030388875020435,22.532459708017996,21.023692500020843,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,0,7,7,6,22.532459708017996,22.780327165994095,24.273348957998678,22.780327165994095,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,1,0,8,5,24.279199125012383,24.52947999999742,26.023134624992963,24.523579500004416,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,1,1,9,7,26.02932816601242,26.28004124999279,27.773055666009896,26.273666207998758,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,1,2,10,4,27.778610291017685,28.030279791011708,29.52271312501398,28.02363958299975,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,1,3,11,3,29.529090041003656,29.780030082998564,31.273113583010854,29.773661041021114,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,1,4,12,6,31.279023041017354,31.529914458020357,33.02320116601186,31.523903416004032,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,1,5,13,1,33.02952191600343,33.27952866599662,34.77318883300177,33.27346683299402,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,1,6,14,2,34.77888070800691,35.029630750010256,36.5234820000187,35.02364766600658,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,1,7,15,0,36.52961112500634,36.77960720800911,38.273247833014466,36.77364312499412,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,2,0,16,2,38.2795252079959,38.53078650002135,40.023215041001095,38.52402504099882,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,2,1,17,0,40.029378916020505,40.2804016660084,41.77335541599314,40.273831208003685,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,2,2,18,6,41.77949829099816,42.030915541021386,43.5233081660117,42.02375104100793,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,2,3,19,3,43.53013991599437,43.78044566599419,45.27297979101422,43.77386841599946,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,2,4,20,1,45.27929966599913,45.53018387500197,47.02371858301922,45.523566000018036,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,2,5,21,5,47.029954458004795,47.28038316601305,48.7830348330026,47.27383337501669,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,2,6,22,4,48.7830348330026,49.03048945800401,50.523358791018836,49.03048945800401,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,2,7,23,7,50.523358791018836,50.78048766599386,52.27336675001425,50.76362345801317,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,3,0,24,7,52.27960408301442,52.52962474999367,54.02374254100141,52.523729583015665,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,3,1,25,3,54.02972629101714,54.279873541003326,55.773319875006564,54.273814875021344,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,3,2,26,5,55.778978916001506,56.0296973749937,57.523451125016436,56.02367749999394,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
white,1,3,3,27,2,57.52952125002048,57.77335587501875,59.26611579101882,57.77335587501875,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
gray,2,3,4,28,6,59.27361262499471,59.52338458300801,61.015686250000726,59.51445841600071,610473,001,2023-02-09_17h03.39.838,simple VEP,2022.2.4,None,
