color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gray,2,0,0,0,4,11.71776212498662,11.955615874991054,12.95641854198766,,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,0,1,1,1,12.95641854198766,13.205579333996866,14.197786916978657,,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,0,2,2,7,14.197786916978657,14.446722916996805,15.448241167003289,14.446722916996805,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,0,3,3,3,15.448241167003289,15.695631708978908,16.68872358399676,15.695631708978908,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,0,4,4,6,16.68872358399676,16.939161458984017,17.930876250000438,16.928319999977248,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,0,5,5,5,17.938087083981372,18.18851337497472,19.1807029999909,18.17960737500107,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,0,6,6,0,19.18854395899689,19.43896562498412,20.43121149999206,19.429381791997002,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,0,7,7,2,20.438542666990543,20.68896795899491,21.680507624987513,20.67944208398694,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,1,0,8,5,21.688726083986694,21.938669208990177,22.931485958979465,21.92994716699468,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,1,1,9,7,22.93860991697875,23.18912070899387,24.182065667002462,23.179375666979467,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,1,2,10,4,24.189629624976078,24.43915629197727,25.43122216698248,24.428836958977627,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,1,3,11,3,25.438516750000417,25.688897916988935,26.681261791993165,25.679275874979794,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,1,4,12,2,26.688947124988772,26.939246499998262,27.930970541987335,26.92908441700274,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,1,5,13,6,27.938707416993566,28.189233624987537,29.18213479197584,28.178847666975344,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,1,6,14,1,29.189700374990935,29.439319958997658,30.431069624988595,29.429591208987404,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,1,7,15,0,30.438784833997488,30.689293666975573,31.681109625002136,30.67908154198085,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,2,0,16,6,31.688652833981905,31.93934229199658,32.93124266699306,31.92893779199221,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,2,1,17,0,32.938627124996856,33.189314708986785,34.18109554197872,33.17870520899305,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,2,2,18,5,34.188633749989094,34.43934449998778,35.431267166975886,34.42895229198621,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,2,3,19,3,35.43880429197452,35.688771791988984,36.681169166986365,35.6799353339884,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,2,4,20,4,36.68827512499411,36.938647374976426,37.931704749993514,36.92993462498998,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,2,5,21,1,37.93841712499852,38.189247542002704,39.18076399998972,38.17930933399475,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
white,1,2,6,22,2,39.18869470898062,39.43876150000142,40.431639499991434,39.4299375419796,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
gray,2,2,7,23,7,40.43929587499588,40.68924066697946,41.68051424997975,40.67890549998265,034339,001,2023-02-26_10h01.40.896,simple VEP,2022.2.4,None,
