0.9758 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.7447 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
5.9592 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

5.9604 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe863674970>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe8059e8580>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9608 	EXP 	window1: mouseVisible = True
5.9619 	EXP 	window1: mouseVisible = False
5.9620 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.9620 	EXP 	window1: recordFrameIntervals = False
6.0423 	EXP 	window1: recordFrameIntervals = True
6.9148 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.8867 	EXP 	Created grating1 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='grating1', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([10., 10.]), size=array([1., 1.]), tex='sin', texRes=128.0, units='height', win=Window(...))
8.8995 	EXP 	Created grating1_2 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='grating1_2', opacity=1.0, ori=0.0, phase=array([0.5, 0.5]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([10., 10.]), size=array([1., 1.]), tex='sin', texRes=128.0, units='height', win=Window(...))
8.9004 	EXP 	Created sequence: random, trialTypes=1, nReps=30, seed=None
8.9006 	EXP 	New trial (rep=0, index=0): None
8.9115 	WARNING 	t of last frame was 1997.03ms (=1/0)
8.9115 	EXP 	grating1: autoDraw = True
8.9115 	EXP 	grating1: tex = 'sin'
9.4100 	EXP 	grating1: autoDraw = False
9.4100 	EXP 	grating1: autoDraw = False
9.4100 	EXP 	grating1_2: autoDraw = True
9.4100 	EXP 	grating1_2: tex = 'sin'
9.9002 	EXP 	New trial (rep=1, index=0): None
9.9088 	EXP 	grating1_2: autoDraw = False
