color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
white,1,0,0,0,0,11.721266540989745,11.963943582988577,12.958144165982958,,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,0,1,1,5,12.958144165982958,13.198016290989472,14.190709999995306,13.198016290989472,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,0,2,2,7,14.196991540986346,14.447106749983504,15.440048749995185,14.440561583003728,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,0,3,3,4,15.446049874997698,15.697696499992162,16.69046049998724,15.690891332982574,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,0,4,4,1,16.69715704099508,16.947589540999616,17.94055999998818,16.940916166000534,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,0,5,5,3,17.947424707992468,18.198001999990083,19.189995082997484,18.191010665992508,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,0,6,6,2,19.195973666006466,19.44759608298773,20.44046124999295,19.440914208011236,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,0,7,7,6,20.447341040999163,20.698440999985905,21.699961125006666,20.690891582984477,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,1,0,8,7,21.699961125006666,21.948101957998006,22.940515916008735,21.948101957998006,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,1,1,9,6,22.94742920799763,23.197573165991344,24.190494790993398,23.190887540986296,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,1,2,10,2,24.196692875004373,24.44693854099023,25.44051445799414,24.44075095799053,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,1,3,11,0,25.44627445799415,25.6975287499954,26.690565208002226,25.690878124994924,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,1,4,12,3,26.697018290986307,26.94743462500628,27.94048695798847,26.94088708300842,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,1,5,13,1,27.94732304100762,28.19757866600412,29.190568999998504,28.190917790983804,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,1,6,14,5,29.19730758300284,29.447392291011056,30.440768416010542,29.440907707990846,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,1,7,15,4,30.447588125010952,30.696881165989907,31.690696500008926,30.690805749996798,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,2,0,16,5,31.69742754098843,31.947453000000678,32.9404705830093,31.940894915984245,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,2,1,17,0,32.946980749984505,33.19744166600867,34.19053483300377,33.190853874984896,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,2,2,18,2,34.19661833299324,34.44751820800593,35.44053575000726,34.44115662499098,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,2,3,19,7,35.44732066598954,35.69808070801082,36.69040437499643,35.69089079101104,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,2,4,20,1,36.69711070798803,36.94741129101021,37.94083137498819,36.94074816600187,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,2,5,21,6,37.947294832993066,38.197546249983134,39.19062554099946,38.19081866598572,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,2,6,22,3,39.19739975000266,39.447581707994686,40.44049295800505,39.44094599998789,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,2,7,23,4,40.447306749993004,40.69714804098476,41.690648374991724,40.69059424998704,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
white,1,3,0,24,2,41.69755645800615,41.947552750003524,42.94053024999448,41.940881582995644,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
gray,2,3,1,25,6,42.94683883298421,43.19763474998763,44.19089825000265,43.19099841598654,601846,001,2023-02-09_17h17.28.735,simple VEP,2022.2.4,None,
