trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.17588258300384,10.17588258300384,10.356494541003485,10.356494541003485,10.356494541003485,10.356494541003485,10.512557458001538,10.512557458001538,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
1,0,1,0,10.512557458001538,10.512557458001538,10.680186458004755,10.680186458004755,10.680186458004755,10.680186458004755,10.840713125006005,10.840713125006005,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
2,0,2,0,10.840713125006005,10.840713125006005,10.996194083003502,10.996194083003502,10.996194083003502,10.996194083003502,11.157231208002486,11.157231208002486,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
3,0,3,0,11.157231208002486,11.157231208002486,11.313209541003744,11.313209541003744,11.313209541003744,11.313209541003744,11.473827750000055,11.473827750000055,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
4,0,4,0,11.473827750000055,11.473827750000055,11.630126541000209,11.630126541000209,11.630126541000209,11.630126541000209,11.790624958004628,11.790624958004628,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
5,0,5,0,11.790624958004628,11.790624958004628,11.946311541003524,11.946311541003524,11.946311541003524,11.946311541003524,12.107384250004543,12.107384250004543,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
6,0,6,0,12.107384250004543,12.107384250004543,12.264069166005356,12.264069166005356,12.264069166005356,12.264069166005356,12.429725125002733,12.429725125002733,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
7,0,7,0,12.429725125002733,12.429725125002733,12.59063445799984,12.59063445799984,12.59063445799984,12.59063445799984,12.74707875000604,12.74707875000604,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
8,0,8,0,12.74707875000604,12.74707875000604,12.91306683300354,12.91306683300354,12.91306683300354,12.91306683300354,13.073851708002621,13.073851708002621,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
9,0,9,0,13.073851708002621,13.073851708002621,13.228565583005548,13.228565583005548,13.228565583005548,13.228565583005548,13.390571374999126,13.390571374999126,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
10,0,10,0,13.390571374999126,13.390571374999126,13.546758916003455,13.546758916003455,13.546758916003455,13.546758916003455,13.707193708003615,13.707193708003615,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
11,0,11,0,13.707193708003615,13.707193708003615,13.863365625002189,13.863365625002189,13.863365625002189,13.863365625002189,14.02386479100096,14.02386479100096,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
12,0,12,0,14.02386479100096,14.02386479100096,14.179904791002627,14.179904791002627,14.179904791002627,14.179904791002627,14.340681875000882,14.340681875000882,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
13,0,13,0,14.340681875000882,14.340681875000882,14.496021541002847,14.496021541002847,14.496021541002847,14.496021541002847,14.65726474999974,14.65726474999974,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
14,0,14,0,14.65726474999974,14.65726474999974,14.812965458004328,14.812965458004328,14.812965458004328,14.812965458004328,14.97393833300157,14.97393833300157,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
15,0,15,0,14.97393833300157,14.97393833300157,15.129767208003614,15.129767208003614,15.129767208003614,15.129767208003614,15.290557583000918,15.290557583000918,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
16,0,16,0,15.290557583000918,15.290557583000918,15.457468790998973,15.457468790998973,15.457468790998973,15.457468790998973,15.6138707909995,15.6138707909995,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
17,0,17,0,15.6138707909995,15.6138707909995,15.773999000004551,15.773999000004551,15.773999000004551,15.773999000004551,15.930557958003192,15.930557958003192,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
18,0,18,0,15.930557958003192,15.930557958003192,16.090565416001482,16.090565416001482,16.090565416001482,16.090565416001482,16.246948541003803,16.246948541003803,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
19,0,19,0,16.246948541003803,16.246948541003803,16.407374541005993,16.407374541005993,16.407374541005993,16.407374541005993,16.564810916002898,16.564810916002898,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
20,0,20,0,16.564810916002898,16.564810916002898,16.730781625003146,16.730781625003146,16.730781625003146,16.730781625003146,16.896353708005336,16.896353708005336,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
21,0,21,0,16.896353708005336,16.896353708005336,17.057305541005917,17.057305541005917,17.057305541005917,17.057305541005917,17.213158416001534,17.213158416001534,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
22,0,22,0,17.213158416001534,17.213158416001534,17.373951083005522,17.373951083005522,17.373951083005522,17.373951083005522,17.53208995800378,17.53208995800378,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
23,0,23,0,17.53208995800378,17.53208995800378,17.696924791001948,17.696924791001948,17.696924791001948,17.696924791001948,17.857334833002824,17.857334833002824,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
24,0,24,0,17.857334833002824,17.857334833002824,18.013666916005604,18.013666916005604,18.013666916005604,18.013666916005604,18.174135000001115,18.174135000001115,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
25,0,25,0,18.174135000001115,18.174135000001115,18.33000408299995,18.33000408299995,18.33000408299995,18.33000408299995,18.49036262500158,18.49036262500158,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
26,0,26,0,18.49036262500158,18.49036262500158,18.64614641600201,18.64614641600201,18.64614641600201,18.64614641600201,18.807183125005395,18.807183125005395,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
27,0,27,0,18.807183125005395,18.807183125005395,18.96388300000399,18.96388300000399,18.96388300000399,18.96388300000399,19.123970332999306,19.123970332999306,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
28,0,28,0,19.123970332999306,19.123970332999306,19.27867900000274,19.27867900000274,19.27867900000274,19.27867900000274,19.440617041000223,19.440617041000223,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
29,0,29,0,19.440617041000223,19.440617041000223,19.596423875002074,19.596423875002074,19.596423875002074,19.596423875002074,19.7571472500058,19.7571472500058,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
30,0,30,0,19.7571472500058,19.7571472500058,19.913212708001083,19.913212708001083,19.913212708001083,19.913212708001083,20.073994875005155,20.073994875005155,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
31,0,31,0,20.073994875005155,20.073994875005155,20.22999504100153,20.22999504100153,20.22999504100153,20.22999504100153,20.3905472080005,20.3905472080005,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
32,0,32,0,20.3905472080005,20.3905472080005,20.553064250001626,20.553064250001626,20.553064250001626,20.553064250001626,20.71385529100371,20.71385529100371,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
33,0,33,0,20.71385529100371,20.71385529100371,20.87392216599983,20.87392216599983,20.87392216599983,20.87392216599983,21.029940166001325,21.029940166001325,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
34,0,34,0,21.029940166001325,21.029940166001325,21.196396583000023,21.196396583000023,21.196396583000023,21.196396583000023,21.357273083005566,21.357273083005566,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
35,0,35,0,21.357273083005566,21.357273083005566,21.51306466600363,21.51306466600363,21.51306466600363,21.51306466600363,21.673910750003415,21.673910750003415,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
36,0,36,0,21.673910750003415,21.673910750003415,21.830035750004754,21.830035750004754,21.830035750004754,21.830035750004754,21.990622208002605,21.990622208002605,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
37,0,37,0,21.990622208002605,21.990622208002605,22.14660562499921,22.14660562499921,22.14660562499921,22.14660562499921,22.307282833004138,22.307282833004138,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
38,0,38,0,22.307282833004138,22.307282833004138,22.463288124999963,22.463288124999963,22.463288124999963,22.463288124999963,22.62395083300362,22.62395083300362,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
39,0,39,0,22.62395083300362,22.62395083300362,22.780219416003092,22.780219416003092,22.780219416003092,22.780219416003092,22.940560041002755,22.940560041002755,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
40,0,40,0,22.940560041002755,22.940560041002755,23.096596583003702,23.096596583003702,23.096596583003702,23.096596583003702,23.257204125002318,23.257204125002318,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
41,0,41,0,23.257204125002318,23.257204125002318,23.41328712500399,23.41328712500399,23.41328712500399,23.41328712500399,23.574003708003147,23.574003708003147,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
42,0,42,0,23.574003708003147,23.574003708003147,23.728950541000813,23.728950541000813,23.728950541000813,23.728950541000813,23.89059008299955,23.89059008299955,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
43,0,43,0,23.89059008299955,23.89059008299955,24.046641833003378,24.046641833003378,24.046641833003378,24.046641833003378,24.207157500000903,24.207157500000903,706027,001,2023-03-17_11h54.59.615,simple VEP,2022.2.4,None,
