1.2739 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.0785 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.3123 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.3132 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd3a9ea38e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd339598430>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3136 	EXP 	window1: mouseVisible = True
10.3147 	EXP 	window1: mouseVisible = False
10.3148 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.3148 	EXP 	window1: recordFrameIntervals = False
10.3950 	EXP 	window1: recordFrameIntervals = True
11.2518 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.2128 	EXP 	Created grating1 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='grating1', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([10., 10.]), size=array([1., 1.]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.2249 	EXP 	Created grating1_2 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='grating1_2', opacity=1.0, ori=0.0, phase=array([0.5, 0.5]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([10., 10.]), size=array([1., 1.]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.2257 	EXP 	Created sequence: random, trialTypes=1, nReps=30, seed=None
13.2260 	EXP 	New trial (rep=0, index=0): None
13.2394 	WARNING 	t of last frame was 1987.92ms (=1/0)
13.2394 	EXP 	grating1: autoDraw = True
13.2394 	EXP 	grating1: tex = 'sin'
13.7371 	EXP 	grating1: autoDraw = False
13.7371 	EXP 	grating1_2: autoDraw = True
13.7371 	EXP 	grating1_2: tex = 'sin'
14.1949 	WARNING 	t of last frame was 22.20ms (=1/45)
14.2237 	EXP 	New trial (rep=1, index=0): None
14.2445 	WARNING 	t of last frame was 22.12ms (=1/45)
14.2445 	EXP 	grating1_2: autoDraw = False
14.2445 	EXP 	grating1_2: autoDraw = False
14.2445 	EXP 	grating1: autoDraw = True
14.7354 	EXP 	grating1: autoDraw = False
14.7354 	EXP 	grating1_2: autoDraw = True
15.2202 	EXP 	New trial (rep=2, index=0): None
15.2280 	EXP 	grating1_2: autoDraw = False
15.2280 	EXP 	grating1_2: autoDraw = False
15.2280 	EXP 	grating1: autoDraw = True
15.7192 	EXP 	grating1: autoDraw = False
15.7192 	EXP 	grating1: autoDraw = False
15.7192 	EXP 	grating1_2: autoDraw = True
16.2039 	EXP 	New trial (rep=3, index=0): None
16.2109 	EXP 	grating1_2: autoDraw = False
16.2109 	EXP 	grating1_2: autoDraw = False
16.2172 	EXP 	grating1: autoDraw = True
16.7114 	EXP 	grating1: autoDraw = False
16.7114 	EXP 	grating1: autoDraw = False
16.7189 	EXP 	grating1_2: autoDraw = True
17.2041 	EXP 	New trial (rep=4, index=0): None
17.2109 	EXP 	grating1_2: autoDraw = False
17.2109 	EXP 	grating1_2: autoDraw = False
17.2181 	EXP 	grating1: autoDraw = True
17.7116 	EXP 	grating1: autoDraw = False
17.7116 	EXP 	grating1: autoDraw = False
17.7191 	EXP 	grating1_2: autoDraw = True
18.2033 	EXP 	New trial (rep=5, index=0): None
18.2114 	EXP 	grating1_2: autoDraw = False
18.2114 	EXP 	grating1_2: autoDraw = False
18.2176 	EXP 	grating1: autoDraw = True
18.7116 	EXP 	grating1: autoDraw = False
18.7116 	EXP 	grating1: autoDraw = False
18.7193 	EXP 	grating1_2: autoDraw = True
19.2031 	EXP 	New trial (rep=6, index=0): None
19.2115 	EXP 	grating1_2: autoDraw = False
19.2115 	EXP 	grating1_2: autoDraw = False
19.2193 	EXP 	grating1: autoDraw = True
19.7116 	EXP 	grating1: autoDraw = False
19.7116 	EXP 	grating1: autoDraw = False
19.7197 	EXP 	grating1_2: autoDraw = True
20.2030 	EXP 	New trial (rep=7, index=0): None
20.2116 	EXP 	grating1_2: autoDraw = False
20.2116 	EXP 	grating1_2: autoDraw = False
20.2177 	EXP 	grating1: autoDraw = True
20.7116 	EXP 	grating1: autoDraw = False
20.7116 	EXP 	grating1: autoDraw = False
20.7193 	EXP 	grating1_2: autoDraw = True
21.2032 	EXP 	New trial (rep=8, index=0): None
21.2119 	EXP 	grating1_2: autoDraw = False
21.2119 	EXP 	grating1_2: autoDraw = False
21.2196 	EXP 	grating1: autoDraw = True
21.7196 	EXP 	grating1: autoDraw = False
21.7196 	EXP 	grating1: autoDraw = False
21.7196 	EXP 	grating1_2: autoDraw = True
22.2030 	EXP 	New trial (rep=9, index=0): None
22.2117 	EXP 	grating1_2: autoDraw = False
22.2117 	EXP 	grating1_2: autoDraw = False
22.2194 	EXP 	grating1: autoDraw = True
22.7110 	EXP 	grating1: autoDraw = False
22.7110 	EXP 	grating1: autoDraw = False
22.7174 	EXP 	grating1_2: autoDraw = True
23.2033 	EXP 	New trial (rep=10, index=0): None
23.2118 	EXP 	grating1_2: autoDraw = False
23.2118 	EXP 	grating1_2: autoDraw = False
23.2194 	EXP 	grating1: autoDraw = True
23.7116 	EXP 	grating1: autoDraw = False
23.7116 	EXP 	grating1: autoDraw = False
23.7194 	EXP 	grating1_2: autoDraw = True
24.2120 	EXP 	New trial (rep=11, index=0): None
24.2198 	EXP 	grating1_2: autoDraw = False
24.2198 	EXP 	grating1_2: autoDraw = False
24.2198 	EXP 	grating1: autoDraw = True
24.7116 	EXP 	grating1: autoDraw = False
24.7116 	EXP 	grating1: autoDraw = False
24.7192 	EXP 	grating1_2: autoDraw = True
25.2031 	EXP 	New trial (rep=12, index=0): None
25.2117 	EXP 	grating1_2: autoDraw = False
25.2117 	EXP 	grating1_2: autoDraw = False
25.2197 	EXP 	grating1: autoDraw = True
25.7111 	EXP 	grating1: autoDraw = False
25.7111 	EXP 	grating1: autoDraw = False
25.7190 	EXP 	grating1_2: autoDraw = True
26.2028 	EXP 	New trial (rep=13, index=0): None
26.2115 	EXP 	grating1_2: autoDraw = False
26.2115 	EXP 	grating1_2: autoDraw = False
26.2192 	EXP 	grating1: autoDraw = True
26.7115 	EXP 	grating1: autoDraw = False
26.7115 	EXP 	grating1: autoDraw = False
26.7192 	EXP 	grating1_2: autoDraw = True
27.2040 	EXP 	New trial (rep=14, index=0): None
27.2110 	EXP 	grating1_2: autoDraw = False
27.2110 	EXP 	grating1_2: autoDraw = False
27.2175 	EXP 	grating1: autoDraw = True
27.6009 	WARNING 	t of last frame was 20.85ms (=1/47)
27.7118 	EXP 	grating1: autoDraw = False
27.7118 	EXP 	grating1: autoDraw = False
27.7198 	EXP 	grating1_2: autoDraw = True
28.2047 	EXP 	New trial (rep=15, index=0): None
28.2111 	EXP 	grating1_2: autoDraw = False
28.2111 	EXP 	grating1_2: autoDraw = False
28.2175 	EXP 	grating1: autoDraw = True
28.5283 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
28.7116 	EXP 	grating1: autoDraw = False
28.7116 	EXP 	grating1: autoDraw = False
28.7194 	EXP 	grating1_2: autoDraw = True
29.2030 	EXP 	New trial (rep=16, index=0): None
29.2113 	EXP 	grating1_2: autoDraw = False
29.2113 	EXP 	grating1_2: autoDraw = False
29.2182 	EXP 	grating1: autoDraw = True
29.7116 	EXP 	grating1: autoDraw = False
29.7116 	EXP 	grating1: autoDraw = False
29.7192 	EXP 	grating1_2: autoDraw = True
30.2044 	EXP 	New trial (rep=17, index=0): None
30.2111 	EXP 	grating1_2: autoDraw = False
30.2111 	EXP 	grating1_2: autoDraw = False
30.2187 	EXP 	grating1: autoDraw = True
30.7112 	EXP 	grating1: autoDraw = False
30.7112 	EXP 	grating1: autoDraw = False
30.7175 	EXP 	grating1_2: autoDraw = True
31.2034 	EXP 	New trial (rep=18, index=0): None
31.2117 	EXP 	grating1_2: autoDraw = False
31.2117 	EXP 	grating1_2: autoDraw = False
31.2199 	EXP 	grating1: autoDraw = True
31.7116 	EXP 	grating1: autoDraw = False
31.7116 	EXP 	grating1: autoDraw = False
31.7194 	EXP 	grating1_2: autoDraw = True
32.2032 	EXP 	New trial (rep=19, index=0): None
32.2116 	EXP 	grating1_2: autoDraw = False
32.2116 	EXP 	grating1_2: autoDraw = False
32.2193 	EXP 	grating1: autoDraw = True
32.7115 	EXP 	grating1: autoDraw = False
32.7115 	EXP 	grating1: autoDraw = False
32.7192 	EXP 	grating1_2: autoDraw = True
33.2031 	EXP 	New trial (rep=20, index=0): None
33.2116 	EXP 	grating1_2: autoDraw = False
33.2116 	EXP 	grating1_2: autoDraw = False
33.2189 	EXP 	grating1: autoDraw = True
33.7117 	EXP 	grating1: autoDraw = False
33.7117 	EXP 	grating1: autoDraw = False
33.7191 	EXP 	grating1_2: autoDraw = True
34.2032 	EXP 	New trial (rep=21, index=0): None
34.2117 	EXP 	grating1_2: autoDraw = False
