trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.28190133300086,10.28190133300086,10.799713583000994,10.799713583000994,10.799713583000994,10.799713583000994,11.29472416700446,11.29472416700446,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
1,0,1,0,11.29472416700446,11.29472416700446,11.7840944999989,11.7840944999989,11.7840944999989,11.7840944999989,12.278410667000571,12.278410667000571,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
2,0,2,0,12.278410667000571,12.278410667000571,12.766843125005835,12.766843125005835,12.766843125005835,12.766843125005835,13.261321625002893,13.261321625002893,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
3,0,3,0,13.261321625002893,13.261321625002893,13.751366042000882,13.751366042000882,13.751366042000882,13.751366042000882,14.244980458002829,14.244980458002829,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
4,0,4,0,14.244980458002829,14.244980458002829,14.73498350000591,14.73498350000591,14.73498350000591,14.73498350000591,15.236641708004754,15.236641708004754,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
5,0,5,0,15.236641708004754,15.236641708004754,15.734671250000247,15.734671250000247,15.734671250000247,15.734671250000247,16.228112583004986,16.228112583004986,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
6,0,6,0,16.228112583004986,16.228112583004986,16.718335249999654,16.718335249999654,16.718335249999654,16.718335249999654,17.211079417000292,17.211079417000292,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
7,0,7,0,17.211079417000292,17.211079417000292,17.70216325000365,17.70216325000365,17.70216325000365,17.70216325000365,18.202537000004668,18.202537000004668,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
8,0,8,0,18.202537000004668,18.202537000004668,18.699046250003448,18.699046250003448,18.699046250003448,18.699046250003448,19.19506645799993,19.19506645799993,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
9,0,9,0,19.19506645799993,19.19506645799993,19.68463558300573,19.68463558300573,19.68463558300573,19.68463558300573,20.177678416999697,20.177678416999697,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
10,0,10,0,20.177678416999697,20.177678416999697,20.6682264580013,20.6682264580013,20.6682264580013,20.6682264580013,21.16139925000607,21.16139925000607,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
11,0,11,0,21.16139925000607,21.16139925000607,21.651309332999517,21.651309332999517,21.651309332999517,21.651309332999517,22.152707458000805,22.152707458000805,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
12,0,12,0,22.152707458000805,22.152707458000805,22.652113708005345,22.652113708005345,22.652113708005345,22.652113708005345,23.151088999999047,23.151088999999047,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
13,0,13,0,23.151088999999047,23.151088999999047,23.645241500002157,23.645241500002157,23.645241500002157,23.645241500002157,24.135544917000516,24.135544917000516,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
14,0,14,0,24.135544917000516,24.135544917000516,24.63447070800612,24.63447070800612,24.63447070800612,24.63447070800612,25.13547762500093,25.13547762500093,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
15,0,15,0,25.13547762500093,25.13547762500093,25.63406045800366,25.63406045800366,25.63406045800366,25.63406045800366,26.12788166700193,26.12788166700193,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
16,0,16,0,26.12788166700193,26.12788166700193,26.618152667004324,26.618152667004324,26.618152667004324,26.618152667004324,27.111079833004624,27.111079833004624,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
17,0,17,0,27.111079833004624,27.111079833004624,27.600989541999297,27.600989541999297,27.600989541999297,27.600989541999297,28.094810958005837,28.094810958005837,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
18,0,18,0,28.094810958005837,28.094810958005837,28.583674166999117,28.583674166999117,28.583674166999117,28.583674166999117,29.07833541700529,29.07833541700529,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
19,0,19,0,29.07833541700529,29.07833541700529,29.568120125004498,29.568120125004498,29.568120125004498,29.568120125004498,30.06154908300232,30.06154908300232,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
20,0,20,0,30.06154908300232,30.06154908300232,30.55117833300028,30.55117833300028,30.55117833300028,30.55117833300028,31.052709167001012,31.052709167001012,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
21,0,21,0,31.052709167001012,31.052709167001012,31.551414500005194,31.551414500005194,31.551414500005194,31.551414500005194,32.05310433300474,32.05310433300474,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
22,0,22,0,32.05310433300474,32.05310433300474,32.551624083003844,32.551624083003844,32.551624083003844,32.551624083003844,33.04479145799996,33.04479145799996,514548,001,2023-03-17_11h14.53.346,simple VEP,2022.2.4,None,
,,,,33.04479145799996,33.04479145799996,33.535000625000976,33.535000625000976,33.535000625000976,33.535000625000976,,,,,,,,,
