trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,newfix.started,newfix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,11.575247832999594,11.575247832999594,11.75160699999833,11.75160699999833,11.75160699999833,11.75160699999833,11.911942374998034,11.911942374998034,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
1,0,1,0,,,,,11.911942374998034,11.911942374998034,12.075777457997901,12.075777457997901,12.075777457997901,12.075777457997901,12.236452082997857,12.236452082997857,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
2,0,2,0,,,,,12.236452082997857,12.236452082997857,12.395694082999398,12.395694082999398,12.395694082999398,12.395694082999398,12.568575082997995,12.568575082997995,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
3,0,3,0,,,,,12.568575082997995,12.568575082997995,12.730908707999333,12.730908707999333,12.730908707999333,12.730908707999333,12.901831749997655,12.901831749997655,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
4,0,4,0,,,,,12.901831749997655,12.901831749997655,13.064676207999582,13.064676207999582,13.064676207999582,13.064676207999582,13.230891708000854,13.230891708000854,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
5,0,5,0,,,,,13.230891708000854,13.230891708000854,13.39007700000002,13.39007700000002,13.39007700000002,13.39007700000002,13.554260958000668,13.554260958000668,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
6,0,6,0,,,,,13.554260958000668,13.554260958000668,13.722757583000202,13.722757583000202,13.722757583000202,13.722757583000202,13.886661458000162,13.886661458000162,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
7,0,7,0,,,,,13.886661458000162,13.886661458000162,14.048264541997924,14.048264541997924,14.048264541997924,14.048264541997924,14.214865457997803,14.214865457997803,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
8,0,8,0,,,,,14.214865457997803,14.214865457997803,14.383213875000365,14.383213875000365,14.383213875000365,14.383213875000365,14.54682162500103,14.54682162500103,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
9,0,9,0,,,,,14.54682162500103,14.54682162500103,14.719062125001074,14.719062125001074,14.719062125001074,14.719062125001074,14.884122542000114,14.884122542000114,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
10,0,10,0,,,,,14.884122542000114,14.884122542000114,15.072372750000795,15.072372750000795,15.072372750000795,15.072372750000795,15.251486500001192,15.251486500001192,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
11,0,11,0,,,,,15.251486500001192,15.251486500001192,15.415037499999016,15.415037499999016,15.415037499999016,15.415037499999016,15.573951499998657,15.573951499998657,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
12,0,12,0,,,,,15.573951499998657,15.573951499998657,15.738309166998079,15.738309166998079,15.738309166998079,15.738309166998079,15.904214457998023,15.904214457998023,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
13,0,13,0,,,,,15.904214457998023,15.904214457998023,16.085172082999634,16.085172082999634,16.085172082999634,16.085172082999634,16.245075708000513,16.245075708000513,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
14,0,14,0,,,,,16.245075708000513,16.245075708000513,16.4032701670003,16.4032701670003,16.4032701670003,16.4032701670003,16.56210191699938,16.56210191699938,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
15,0,15,0,,,,,16.56210191699938,16.56210191699938,16.721107624998695,16.721107624998695,16.721107624998695,16.721107624998695,16.885582708000584,16.885582708000584,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
16,0,16,0,,,,,16.885582708000584,16.885582708000584,17.04687845800072,17.04687845800072,17.04687845800072,17.04687845800072,17.2041970829996,17.2041970829996,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
17,0,17,0,,,,,17.2041970829996,17.2041970829996,17.362971582999307,17.362971582999307,17.362971582999307,17.362971582999307,17.52251674999934,17.52251674999934,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
18,0,18,0,,,,,17.52251674999934,17.52251674999934,17.687256332999823,17.687256332999823,17.687256332999823,17.687256332999823,17.85909349999929,17.85909349999929,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
19,0,19,0,,,,,17.85909349999929,17.85909349999929,18.02703808300066,18.02703808300066,18.02703808300066,18.02703808300066,18.203337332997762,18.203337332997762,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
20,0,20,0,,,,,18.203337332997762,18.203337332997762,18.36268858299809,18.36268858299809,18.36268858299809,18.36268858299809,18.533340750000207,18.533340750000207,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
21,0,21,0,,,,,18.533340750000207,18.533340750000207,18.695171583000047,18.695171583000047,18.695171583000047,18.695171583000047,18.857851917000517,18.857851917000517,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
22,0,22,0,,,,,18.857851917000517,18.857851917000517,19.02175462499872,19.02175462499872,19.02175462499872,19.02175462499872,19.1915674999982,19.1915674999982,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
23,0,23,0,,,,,19.1915674999982,19.1915674999982,19.356069375000516,19.356069375000516,19.356069375000516,19.356069375000516,19.529514499998186,19.529514499998186,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
24,0,24,0,,,,,19.529514499998186,19.529514499998186,19.691400749998138,19.691400749998138,19.691400749998138,19.691400749998138,19.851908666998497,19.851908666998497,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
25,0,25,0,,,,,19.851908666998497,19.851908666998497,20.019781708000664,20.019781708000664,20.019781708000664,20.019781708000664,20.18520974999774,20.18520974999774,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
26,0,26,0,,,,,20.18520974999774,20.18520974999774,20.34682999999859,20.34682999999859,20.34682999999859,20.34682999999859,20.512322874998063,20.512322874998063,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
27,0,27,0,,,,,20.512322874998063,20.512322874998063,20.68052424999769,20.68052424999769,20.68052424999769,20.68052424999769,20.84286062499814,20.84286062499814,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
28,0,28,0,,,,,20.84286062499814,20.84286062499814,21.00802024999939,21.00802024999939,21.00802024999939,21.00802024999939,21.17104583299806,21.17104583299806,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
29,0,29,0,,,,,21.17104583299806,21.17104583299806,21.33225174999825,21.33225174999825,21.33225174999825,21.33225174999825,21.497559208000894,21.497559208000894,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
30,0,30,0,,,,,21.497559208000894,21.497559208000894,21.670045625000057,21.670045625000057,21.670045625000057,21.670045625000057,21.83611000000019,21.83611000000019,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
31,0,31,0,,,,,21.83611000000019,21.83611000000019,22.004684749997978,22.004684749997978,22.004684749997978,22.004684749997978,22.174672958000883,22.174672958000883,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
32,0,32,0,,,,,22.174672958000883,22.174672958000883,22.340553875001206,22.340553875001206,22.340553875001206,22.340553875001206,22.518593332999444,22.518593332999444,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
33,0,33,0,,,,,22.518593332999444,22.518593332999444,22.685368041999027,22.685368041999027,22.685368041999027,22.685368041999027,22.849825582998164,22.849825582998164,,,623111,001,2023-03-18_09h42.07.999,simple VEP,2022.2.4,None,
