color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,grating1_2.started,grating1_2.stopped,grating1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gray,2,0,0,0,6,11.658265208010562,12.14971070800675,,,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,0,1,1,5,12.646692708018236,13.145634500018787,13.637565708020702,,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,0,2,2,7,13.637565708020702,14.129129500011913,14.621077832998708,14.129129500011913,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,0,3,3,4,14.627600500010885,15.128041500021936,15.621092333021807,15.1215368330013,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,0,4,4,2,15.627438041003188,16.12769291602308,16.62122925001313,16.121068000007654,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,0,5,5,1,16.628320666000945,17.128119833010715,17.62127670799964,17.1216016249964,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,0,6,6,0,17.627945665997686,18.128098707995377,18.62134679101291,18.121539415995358,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,0,7,7,3,18.62792141601676,19.127998041018145,19.621406707999995,19.121546291018603,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,1,0,8,3,19.628048665996175,20.128194250020897,20.62110983300954,20.121618166012922,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,1,1,9,6,20.62760212502326,21.127956708020065,21.621669375017518,21.12145670800237,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,1,2,10,0,21.627933750016382,22.129303207999328,22.62118487499538,22.12170350001543,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,1,3,11,4,22.628381750022527,23.1276612910151,23.621094708010787,23.121123582997825,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,1,4,12,7,23.627489666017937,24.12880312500056,24.621146290999604,24.121749291021843,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,1,5,13,5,24.62849112501135,25.128844082995784,25.621463582996512,25.121603750012582,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,1,6,14,1,25.627947833010694,26.12866208300693,26.630668208003044,26.121325750020333,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,1,7,15,2,26.630668208003044,27.129579625005135,27.62966566599789,27.129579625005135,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,2,0,16,1,27.62966566599789,28.129445041005965,28.638672708009835,28.129445041005965,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
white,1,2,1,17,0,28.65543391602114,29.1452299579978,29.660924499999965,,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,2,2,18,5,29.660924499999965,30.14544512500288,30.637751750007737,,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
gray,2,2,3,19,6,30.637751750007737,31.128800000005867,31.6212289580144,31.128800000005867,486542,001,2023-02-26_10h14.31.589,simple VEP,2022.2.4,None,
,,,,,,31.62793600000441,32.128839000011794,,32.121811749995686,,,,,,,
