trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,newfix.started,newfix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,9.954223083001125,9.954223083001125,10.139088790998358,10.139088790998358,10.139088790998358,10.139088790998358,10.30131770799926,10.30131770799926,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
1,0,1,0,,,,,10.30131770799926,10.30131770799926,10.463084250000975,10.463084250000975,10.463084250000975,10.463084250000975,10.63618624999799,10.63618624999799,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
2,0,2,0,,,,,10.63618624999799,10.63618624999799,10.80360620799911,10.80360620799911,10.80360620799911,10.80360620799911,10.96885674999794,10.96885674999794,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
3,0,3,0,,,,,10.96885674999794,10.96885674999794,11.128951208000217,11.128951208000217,11.128951208000217,11.128951208000217,11.302840625001409,11.302840625001409,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
4,0,4,0,,,,,11.302840625001409,11.302840625001409,11.466418249998242,11.466418249998242,11.466418249998242,11.466418249998242,11.624778249999508,11.624778249999508,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
5,0,5,0,,,,,11.624778249999508,11.624778249999508,11.786628958001529,11.786628958001529,11.786628958001529,11.786628958001529,11.948674540999491,11.948674540999491,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
6,0,6,0,,,,,11.948674540999491,11.948674540999491,12.10796483300146,12.10796483300146,12.10796483300146,12.10796483300146,12.271230875001493,12.271230875001493,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
7,0,7,0,,,,,12.271230875001493,12.271230875001493,12.440049332999479,12.440049332999479,12.440049332999479,12.440049332999479,12.602380083000753,12.602380083000753,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
8,0,8,0,,,,,12.602380083000753,12.602380083000753,12.759433750001335,12.759433750001335,12.759433750001335,12.759433750001335,12.919425415999285,12.919425415999285,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
9,0,9,0,,,,,12.919425415999285,12.919425415999285,13.106868415998179,13.106868415998179,13.106868415998179,13.106868415998179,13.265736707999167,13.265736707999167,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
10,0,10,0,,,,,13.265736707999167,13.265736707999167,13.42479608299982,13.42479608299982,13.42479608299982,13.42479608299982,13.581938832998276,13.581938832998276,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
11,0,11,0,,,,,13.581938832998276,13.581938832998276,13.756415457999537,13.756415457999537,13.756415457999537,13.756415457999537,13.923343915997975,13.923343915997975,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
12,0,12,0,,,,,13.923343915997975,13.923343915997975,14.085027290999278,14.085027290999278,14.085027290999278,14.085027290999278,14.250603625001531,14.250603625001531,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
13,0,13,0,,,,,14.250603625001531,14.250603625001531,14.408295875000476,14.408295875000476,14.408295875000476,14.408295875000476,14.569896290999168,14.569896290999168,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
14,0,14,0,,,,,14.569896290999168,14.569896290999168,14.736653332998685,14.736653332998685,14.736653332998685,14.736653332998685,14.902167790998647,14.902167790998647,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
15,0,15,0,,,,,14.902167790998647,14.902167790998647,15.06294487500054,15.06294487500054,15.06294487500054,15.06294487500054,15.239731375000702,15.239731375000702,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
16,0,16,0,,,,,15.239731375000702,15.239731375000702,15.402608583000983,15.402608583000983,15.402608583000983,15.402608583000983,15.569054415998835,15.569054415998835,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
17,0,17,0,,,,,15.569054415998835,15.569054415998835,15.732734165998409,15.732734165998409,15.732734165998409,15.732734165998409,15.892242333000468,15.892242333000468,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
18,0,18,0,,,,,15.892242333000468,15.892242333000468,16.058035707999807,16.058035707999807,16.058035707999807,16.058035707999807,16.22347716600052,16.22347716600052,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
19,0,19,0,,,,,16.22347716600052,16.22347716600052,16.387032624999847,16.387032624999847,16.387032624999847,16.387032624999847,16.55688687500151,16.55688687500151,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
20,0,20,0,,,,,16.55688687500151,16.55688687500151,16.718987000000197,16.718987000000197,16.718987000000197,16.718987000000197,16.878332583000883,16.878332583000883,,,039822,001,2023-03-18_09h43.25.446,simple VEP,2022.2.4,None,
