trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.501132208002673,12.501132208002673,12.681952958002512,12.681952958002512,12.681952958002512,12.681952958002512,12.841862166002102,12.841862166002102,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
1,0,1,0,12.841862166002102,12.841862166002102,13.015725541001302,13.015725541001302,13.015725541001302,13.015725541001302,13.188972750001994,13.188972750001994,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
2,0,2,0,13.188972750001994,13.188972750001994,13.363163041001826,13.363163041001826,13.363163041001826,13.363163041001826,13.546712875002413,13.546712875002413,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
3,0,3,0,13.546712875002413,13.546712875002413,13.70659633300238,13.70659633300238,13.70659633300238,13.70659633300238,13.87344004100305,13.87344004100305,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
4,0,4,0,13.87344004100305,13.87344004100305,14.03815058300097,14.03815058300097,14.03815058300097,14.03815058300097,14.201369957998395,14.201369957998395,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
5,0,5,0,14.201369957998395,14.201369957998395,14.36878570800036,14.36878570800036,14.36878570800036,14.36878570800036,14.53663724999933,14.53663724999933,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
6,0,6,0,14.53663724999933,14.53663724999933,14.703950415998406,14.703950415998406,14.703950415998406,14.703950415998406,14.870016166001733,14.870016166001733,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
7,0,7,0,14.870016166001733,14.870016166001733,15.037518750003073,15.037518750003073,15.037518750003073,15.037518750003073,15.204445750001469,15.204445750001469,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
8,0,8,0,15.204445750001469,15.204445750001469,15.367174958002579,15.367174958002579,15.367174958002579,15.367174958002579,15.543080000003101,15.543080000003101,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
9,0,9,0,15.543080000003101,15.543080000003101,15.720202208001865,15.720202208001865,15.720202208001865,15.720202208001865,15.887605374999112,15.887605374999112,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
10,0,10,0,15.887605374999112,15.887605374999112,16.05440370800352,16.05440370800352,16.05440370800352,16.05440370800352,16.221757665996847,16.221757665996847,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
11,0,11,0,16.221757665996847,16.221757665996847,16.38396783299686,16.38396783299686,16.38396783299686,16.38396783299686,16.55294841599971,16.55294841599971,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
12,0,12,0,16.55294841599971,16.55294841599971,16.712921999998798,16.712921999998798,16.712921999998798,16.712921999998798,16.873928749999322,16.873928749999322,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
13,0,13,0,16.873928749999322,16.873928749999322,17.038415041002736,17.038415041002736,17.038415041002736,17.038415041002736,17.199667375003628,17.199667375003628,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
14,0,14,0,17.199667375003628,17.199667375003628,17.36741795799753,17.36741795799753,17.36741795799753,17.36741795799753,17.542248999998264,17.542248999998264,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
15,0,15,0,17.542248999998264,17.542248999998264,17.701344540997525,17.701344540997525,17.701344540997525,17.701344540997525,17.866485666003427,17.866485666003427,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
16,0,16,0,17.866485666003427,17.866485666003427,18.0457113750017,18.0457113750017,18.0457113750017,18.0457113750017,18.211391666001873,18.211391666001873,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
17,0,17,0,18.211391666001873,18.211391666001873,18.37639504099934,18.37639504099934,18.37639504099934,18.37639504099934,18.539088582998374,18.539088582998374,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
18,0,18,0,18.539088582998374,18.539088582998374,18.70350262500142,18.70350262500142,18.70350262500142,18.70350262500142,18.87971700000344,18.87971700000344,492391,001,2023-03-17_12h33.05.407,simple VEP,2022.2.4,None,
