trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,fixation.started,grating1_2.started,fixation_2.started,grating1_2.stopped,fixation_2.stopped,grating1.stopped,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.744259541999782,11.744259541999782,12.247485542000504,12.247485542000504,,,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
1,0,1,0,12.747294166998472,12.747294166998472,13.24744045798434,13.24744045798434,,,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
2,0,2,0,13.738274707982782,13.738274707982782,14.239907249982934,14.239907249982934,,,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
3,0,3,0,14.744714041997213,14.744714041997213,15.238660457980586,15.238660457980586,15.73315920800087,15.73315920800087,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
4,0,4,0,15.73315920800087,15.73315920800087,16.23193591699237,16.23193591699237,16.724948457995197,16.724948457995197,16.23193591699237,16.23193591699237,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
5,0,5,0,16.724948457995197,16.724948457995197,17.215400541987037,17.215400541987037,17.70588358299574,17.70588358299574,17.215400541987037,17.215400541987037,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
6,0,6,0,17.722516749985516,17.722516749985516,18.222979374986608,18.222979374986608,18.726090207987,18.726090207987,18.2140768749814,18.2140768749814,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
7,0,7,0,18.726090207987,18.726090207987,19.224392457981594,19.224392457981594,19.71691941699828,19.71691941699828,19.224392457981594,19.224392457981594,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
8,0,8,0,19.71691941699828,19.71691941699828,20.22250916698249,20.22250916698249,20.71408470798633,20.71408470798633,20.205972208001185,20.205972208001185,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
9,0,9,0,20.72217749999254,20.72217749999254,21.22466920799343,21.22466920799343,21.7190056249965,21.7190056249965,21.22466920799343,21.22466920799343,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
10,0,10,0,21.7190056249965,21.7190056249965,22.248522832989693,22.248522832989693,,,22.248522832989693,22.248522832989693,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
11,0,11,0,22.735514750005677,22.735514750005677,23.23114112499752,23.23114112499752,23.72596258300473,23.72596258300473,23.23114112499752,23.23114112499752,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
12,0,12,0,23.72596258300473,23.72596258300473,24.248358291981276,24.248358291981276,,,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
13,0,13,0,24.74198345799232,24.74198345799232,25.241910166980233,25.241910166980233,,,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
14,0,14,0,25.741260874987347,25.741260874987347,26.241505416983273,26.241505416983273,,,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
15,0,15,0,26.741342416993575,26.741342416993575,27.239741249999497,27.239741249999497,27.73226608298137,27.73226608298137,,,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
16,0,16,0,27.73226608298137,27.73226608298137,28.231618082994828,28.231618082994828,28.724860957998317,28.724860957998317,28.231618082994828,28.231618082994828,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
17,0,17,0,28.724860957998317,28.724860957998317,29.215836332994513,29.215836332994513,29.73160554197966,29.73160554197966,29.215836332994513,29.215836332994513,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
18,0,18,0,29.73160554197966,29.73160554197966,30.223305541992886,30.223305541992886,30.72584137498052,30.72584137498052,30.223305541992886,30.223305541992886,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
19,0,19,0,30.72584137498052,30.72584137498052,31.223871207999764,31.223871207999764,31.714172332984162,31.714172332984162,31.223871207999764,31.223871207999764,994804,001,2023-02-26_11h24.33.457,simple VEP,2022.2.4,None,
