1.0074 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.3402 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1080]. Using actual size
6.5606 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

6.5613 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb2023278e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fb1e71d2700>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.5616 	EXP 	window1: mouseVisible = True
6.5627 	EXP 	window1: mouseVisible = False
6.5630 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.5631 	EXP 	window1: recordFrameIntervals = False
6.6429 	EXP 	window1: recordFrameIntervals = True
7.4761 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.2106 	EXP 	Created stimulus = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='stimulus', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.2168 	EXP 	Created blank = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([0.00392157, 0.00392157, 0.00392157]), fillColorSpace='rgb', fillRGB=array([0.00392157, 0.00392157, 0.00392157]), interpolate=True, lineColor=array([0.00392157, 0.00392157, 0.00392157]), lineColorSpace='rgb', lineRGB=array([0.00392157, 0.00392157, 0.00392157]), lineWidth=1.0, name='blank', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.2225 	EXP 	Imported StimList.xlsx as conditions, 8 conditions, 2 params
9.2232 	EXP 	Created sequence: random, trialTypes=8, nReps=5, seed=None
9.2234 	EXP 	New trial (rep=0, index=0): {'color': 'gray', 'trigger': 2}
9.2314 	WARNING 	t of last frame was 1755.52ms (=1/0)
9.2314 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
9.2314 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
9.2314 	EXP 	stimulus: autoDraw = True
9.4759 	EXP 	stimulus: autoDraw = False
9.4759 	EXP 	blank: autoDraw = True
10.9606 	EXP 	New trial (rep=0, index=1): {'color': 'gray', 'trigger': 2}
10.9716 	EXP 	blank: autoDraw = False
10.9716 	EXP 	blank: autoDraw = False
10.9716 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
10.9716 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
10.9716 	EXP 	stimulus: autoDraw = True
11.2098 	EXP 	stimulus: autoDraw = False
11.2098 	EXP 	stimulus: autoDraw = False
11.2098 	EXP 	blank: autoDraw = True
