color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gray,2,0,0,0,7,10.256991041009314,10.491010124998866,11.484846250008559,,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,0,1,1,3,11.484846250008559,11.725422582996543,12.72761662499397,11.725422582996543,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,0,2,2,6,12.72761662499397,12.976495875016553,13.968351374991471,12.976495875016553,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,0,3,3,1,13.974705375003396,14.22456620799494,15.217733541008784,14.218897540995385,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,0,4,4,0,15.223789000010584,15.474738749995595,16.468223915988347,15.468844749993877,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,0,5,5,4,16.47423045799951,16.724398749996908,17.718466082995292,16.718533957988257,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,0,6,6,5,17.72494449999067,17.975264708016766,18.96847516600974,17.96865704099764,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,0,7,7,2,18.974193083005957,19.224246666010004,20.217861749988515,19.218641957995715,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,1,0,8,0,20.223572999995667,20.474768040992785,21.468476333015133,20.468913832999533,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,1,1,9,4,21.47456054101349,21.724843416013755,22.718358332989737,21.718967332999455,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,1,2,10,5,22.72467145801056,22.973360291012796,23.968373832991347,22.968302458000835,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,1,3,11,7,23.974550832994282,24.224498833005782,25.218609208008274,24.21864816598827,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,1,4,12,6,25.224388083006488,25.474741457990604,26.468653040996287,25.46886020799866,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,1,5,13,2,26.474791540997103,26.7264036659908,27.718870165990666,26.719158749998314,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,1,6,14,1,27.725058750016615,27.975324541010195,28.968649332993664,27.968674291012576,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,1,7,15,3,28.974731833004626,29.22590345799108,30.22699779100367,29.218935999990208,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,2,0,16,4,30.22699779100367,30.475962625001557,31.468377040990163,30.475962625001557,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,2,1,17,3,31.474074833007762,31.725922915997216,32.72759441600647,31.719104749994585,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,2,2,18,1,32.72759441600647,32.976137791003566,33.97825000001467,32.976137791003566,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,2,3,19,2,33.97825000001467,34.22604366601445,35.21797687499202,34.22604366601445,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,2,4,20,7,35.22392733299057,35.47566758299945,36.46858400001656,35.46898345800582,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,2,5,21,0,36.47527749999426,36.724976458004676,37.71864283300238,36.71889195800759,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,2,6,22,6,37.724389208015054,37.974579375004396,38.968738499999745,37.9686871659942,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,2,7,23,5,38.97486341599142,39.224493332993006,40.21863791599753,39.21847691599396,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,3,0,24,4,40.224575625004945,40.474596957996255,41.46837233300903,40.46865029100445,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,3,1,25,3,41.47396808300982,41.724185625003884,42.718700750003336,41.71792987501249,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,3,2,26,6,42.72465720798937,42.97472720799851,43.968363791005686,42.968675165990135,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,3,3,27,5,43.97436158300843,44.22411308300798,45.218697750009596,44.218649332993664,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,3,4,28,0,45.22492383301142,45.47481149999658,46.468660582992015,45.46876245801104,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,3,5,29,2,46.475114791013766,46.72490479101543,47.71856204100186,46.71895862501697,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,3,6,30,7,47.72476254100911,47.97480879101204,48.96837762501673,47.96904450000147,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,3,7,31,1,48.9744447080011,49.22543620801298,50.21851966599934,49.21882612499758,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,4,0,32,4,50.224328999989666,50.47584691600059,51.46844995798892,50.469277208001586,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,4,1,33,5,51.4744444579992,51.726296166016255,52.72761187501601,51.71910250000656,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,4,2,34,0,52.72761187501601,52.97587020799983,53.977611707989126,52.97587020799983,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,4,3,35,3,53.977611707989126,54.22610066601192,55.228079833002994,54.22610066601192,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,4,4,36,1,55.228079833002994,55.476046875002794,56.46837533300277,55.476046875002794,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,4,5,37,7,56.475150000012945,56.72590533300536,57.71841804101132,56.71893387500313,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,4,6,38,6,57.72398970799986,57.97607949998928,58.96845291601494,57.96876337501453,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,4,7,39,2,58.97528812501696,59.22535570801119,60.21851775000687,59.21878470800584,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,5,0,40,0,60.2244575000077,60.47548791600275,61.46858641601284,60.469082958006766,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,5,1,41,6,61.47468079099781,61.7248174159904,62.71847458300181,61.7188353750098,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,5,2,42,3,62.72400791599648,62.974995875003515,,62.969091708015185,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,5,3,43,5,,64.27884945800179,,,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,5,4,44,1,65.24339474999579,65.48463675001403,66.4774075000023,65.48463675001403,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,5,5,45,7,66.4774075000023,66.72681829100475,67.72782320799888,66.72681829100475,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,5,6,46,2,67.72782320799888,67.97566958301468,68.97756954099168,67.97566958301468,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,5,7,47,4,68.97756954099168,69.22589308299939,70.21845237500384,69.22589308299939,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,6,0,48,1,70.22396950001712,70.47495574998902,71.4685502909997,70.46887504099868,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,6,1,49,3,71.47466966600041,71.72468070799368,72.71865550000803,71.7188748329936,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,6,2,50,6,72.7254599579901,72.9757547499903,73.96848058298929,72.9757547499903,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,6,3,51,7,73.97524616599549,74.22666558300261,75.22757725001429,74.21907250001095,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,6,4,52,5,75.22757725001429,75.4753651249921,76.4688997080084,75.4753651249921,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,6,5,53,4,76.4752730409964,76.72484979100409,77.71846533298958,76.71890908299247,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,6,6,54,2,77.724261166004,77.97542695800075,78.96851924998919,77.96884283301188,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,6,7,55,0,78.97533458299586,79.22508395800833,80.21800641599111,79.21918975000153,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,7,0,56,7,80.22333400000934,80.47483245801413,81.46848462501657,80.46885450000991,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,7,1,57,2,81.4746054999996,81.7251973329985,82.71873520800727,81.71880341600627,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,7,2,58,6,82.72497008301434,82.9750393750146,83.96866025001509,82.96911391601316,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,7,3,59,1,83.97498674999224,84.22485554098967,85.21860487500089,84.21904816600727,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,7,4,60,4,85.22559833299601,85.47577791599906,86.46809825001401,85.4691560830106,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,7,5,61,0,86.4736461660068,86.72568862501066,87.71855866600526,86.71899720799411,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,7,6,62,5,87.7246354999952,87.97514875000343,88.96814858299331,87.96923287500977,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,7,7,63,3,88.9741554580105,89.22644491601386,90.2184648750117,89.21925475000171,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,8,0,64,5,90.22536220800248,90.47468816599576,91.46858608300681,90.46861479099607,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,8,1,65,6,91.47488637501374,91.72577279098914,92.7187652499997,91.71927100000903,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,8,2,66,2,92.72560700000031,92.97448216599878,93.96863933300483,92.9692245410115,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,8,3,67,4,93.97475795799983,94.22583454099367,95.21873091600719,94.21922783300397,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,8,4,68,0,95.22452608300955,95.47491491600522,96.46860187500715,95.46891049999977,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,8,5,69,3,96.47495450000861,96.72527387499576,97.7185541660001,96.71923391599557,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,8,6,70,7,97.72467554101604,97.97487041601562,98.96859333300381,97.9689280000166,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,8,7,71,1,98.97463904100005,99.22557162499288,100.2186279160087,99.21892966600717,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,9,0,72,0,100.22451754100621,100.47530133300461,101.46859633299755,100.46925495800679,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,9,1,73,4,101.47472212501452,101.72571408300428,102.71814962499775,101.71919587498996,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
gray,2,9,2,74,7,102.72504670801573,102.97482324999874,103.96856591600226,102.96890641600476,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
white,1,9,3,75,2,103.97409687499749,104.22477633299422,105.21967266598949,104.21894845800125,034563,001,2023-02-09_17h24.42.945,simple VEP,2022.2.4,None,
