trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.900616291997721,11.900616291997721,12.073349375001271,12.073349375001271,12.073349375001271,12.073349375001271,12.239820583999972,12.239820583999972,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
1,0,1,0,12.239820583999972,12.239820583999972,12.400381334002304,12.400381334002304,12.400381334002304,12.400381334002304,12.55663079200167,12.55663079200167,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
2,0,2,0,12.55663079200167,12.55663079200167,12.716958917000738,12.716958917000738,12.716958917000738,12.716958917000738,12.873125209000136,12.873125209000136,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
3,0,3,0,12.873125209000136,12.873125209000136,13.034300041996175,13.034300041996175,13.034300041996175,13.034300041996175,13.191224292000697,13.191224292000697,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
4,0,4,0,13.191224292000697,13.191224292000697,13.350259541999549,13.350259541999549,13.350259541999549,13.350259541999549,13.506855749998067,13.506855749998067,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
5,0,5,0,13.506855749998067,13.506855749998067,13.666955624998081,13.666955624998081,13.666955624998081,13.666955624998081,13.824243167000532,13.824243167000532,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
6,0,6,0,13.824243167000532,13.824243167000532,13.990227208996657,13.990227208996657,13.990227208996657,13.990227208996657,14.150297583997599,14.150297583997599,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
7,0,7,0,14.150297583997599,14.150297583997599,14.305519834000734,14.305519834000734,14.305519834000734,14.305519834000734,14.466859084001044,14.466859084001044,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
8,0,8,0,14.466859084001044,14.466859084001044,14.62356274999911,14.62356274999911,14.62356274999911,14.62356274999911,14.783989625000686,14.783989625000686,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
9,0,9,0,14.783989625000686,14.783989625000686,14.939850791997742,14.939850791997742,14.939850791997742,14.939850791997742,15.100105167002766,15.100105167002766,495654,001,2023-03-17_11h53.38.872,simple VEP,2022.2.4,None,
