trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.150540916001773,10.150540916001773,10.344487290996767,10.344487290996767,10.344487290996767,10.344487290996767,10.508607582996774,10.508607582996774,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
1,0,1,0,10.508607582996774,10.508607582996774,10.671972666001238,10.671972666001238,10.671972666001238,10.671972666001238,10.831537040998228,10.831537040998228,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
2,0,2,0,10.831537040998228,10.831537040998228,10.997271374995762,10.997271374995762,10.997271374995762,10.997271374995762,11.15935454099963,11.15935454099963,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
3,0,3,0,11.15935454099963,11.15935454099963,11.32206366599712,11.32206366599712,11.32206366599712,11.32206366599712,11.480218999997305,11.480218999997305,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
4,0,4,0,11.480218999997305,11.480218999997305,11.639020875001734,11.639020875001734,11.639020875001734,11.639020875001734,11.797625040999264,11.797625040999264,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
5,0,5,0,11.797625040999264,11.797625040999264,11.95700808300171,11.95700808300171,11.95700808300171,11.95700808300171,12.11645000000135,12.11645000000135,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
6,0,6,0,12.11645000000135,12.11645000000135,12.281449415997486,12.281449415997486,12.281449415997486,12.281449415997486,12.43826283299859,12.43826283299859,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
7,0,7,0,12.43826283299859,12.43826283299859,12.595388165995246,12.595388165995246,12.595388165995246,12.595388165995246,12.758214749999752,12.758214749999752,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
8,0,8,0,12.758214749999752,12.758214749999752,12.921213707995776,12.921213707995776,12.921213707995776,12.921213707995776,13.08053383299557,13.08053383299557,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
9,0,9,0,13.08053383299557,13.08053383299557,13.247282208001707,13.247282208001707,13.247282208001707,13.247282208001707,13.405446541000856,13.405446541000856,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
10,0,10,0,13.405446541000856,13.405446541000856,13.563225582998712,13.563225582998712,13.563225582998712,13.563225582998712,13.7228509580018,13.7228509580018,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
11,0,11,0,13.7228509580018,13.7228509580018,13.883581290996517,13.883581290996517,13.883581290996517,13.883581290996517,14.046680874998856,14.046680874998856,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
12,0,12,0,14.046680874998856,14.046680874998856,14.206074999994598,14.206074999994598,14.206074999994598,14.206074999994598,14.362828249999438,14.362828249999438,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
13,0,13,0,14.362828249999438,14.362828249999438,14.522856832998514,14.522856832998514,14.522856832998514,14.522856832998514,14.688850915998046,14.688850915998046,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
14,0,14,0,14.688850915998046,14.688850915998046,14.860339124999882,14.860339124999882,14.860339124999882,14.860339124999882,15.020360499998787,15.020360499998787,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
15,0,15,0,15.020360499998787,15.020360499998787,15.180553040998348,15.180553040998348,15.180553040998348,15.180553040998348,15.339593666001747,15.339593666001747,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
16,0,16,0,15.339593666001747,15.339593666001747,15.497142665997671,15.497142665997671,15.497142665997671,15.497142665997671,15.659386207997159,15.659386207997159,416862,001,2023-03-17_12h26.03.913,simple VEP,2022.2.4,None,
