color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gray,2,0,0,0,5,9.913541290996363,10.155689083010657,11.651514625002164,,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,0,1,1,7,11.651514625002164,11.889574083004845,13.384961333009414,11.889574083004845,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,0,2,2,6,13.388967250008136,13.640674082998885,15.13502091600094,13.635356125014368,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,0,3,3,4,15.139069791010115,15.389580125018256,16.885011875012424,15.385070582997287,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,0,4,4,3,16.8891853330133,17.13930470799096,18.6352028750116,17.135022208007285,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,0,5,5,0,18.639398916013306,18.889566708006896,20.385059332998935,18.885129750007764,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,0,6,6,2,20.389481332997093,20.639702957996633,22.135243791009998,20.63505358301336,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,0,7,7,1,22.139576165995095,22.389448125002673,23.885075541009428,22.385136666009203,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,1,0,8,1,23.889646666008048,24.140948500018567,25.642927041015355,24.135351333010476,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,1,1,9,3,25.642927041015355,25.889997291000327,27.384903083002428,25.889997291000327,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,1,2,10,7,27.38908445800189,27.640766124997754,29.142360625002766,27.63546191601199,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,1,3,11,2,29.142360625002766,29.39063341601286,30.892707332997816,29.39063341601286,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,1,4,12,6,30.892707332997816,31.140168333018664,32.63507424999261,31.140168333018664,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,1,5,13,5,32.639227083011065,32.8908400000073,34.39162641600706,32.885394500015536,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,1,6,14,0,34.39162641600706,34.6402932080091,36.13483416600502,34.6402932080091,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,1,7,15,4,36.13914216600824,36.38960424999823,37.885172540991334,36.3852737910056,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,2,0,16,1,37.8899510409974,38.139283750002505,39.63536504100193,38.135240833013086,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,2,1,17,2,39.639769083005376,39.88980649999576,41.38506845801021,39.88526500001899,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,2,2,18,5,41.38910983299138,41.639572625019355,43.13504108300549,41.63528254101402,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,2,3,19,6,43.13997379099601,43.38967504099128,44.88504250001279,43.38525837499765,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,2,4,20,0,44.88915825000731,45.13982795801712,46.63528016599594,45.13527879101457,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,2,5,21,4,46.639882624993334,46.89039658301044,48.39244600001257,46.8855997910141,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,2,6,22,7,48.39244600001257,48.640634125011275,50.14309179101838,48.640634125011275,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,2,7,23,3,50.14309179101838,50.39078325001174,51.89317108300747,50.39078325001174,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,3,0,24,6,51.89317108300747,52.140450375009095,53.63530237501254,52.140450375009095,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,3,1,25,4,53.63972862501396,53.889750000002095,55.385248500009766,53.885269624996,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,3,2,26,0,55.389377750019776,55.63959716600948,57.135294666019036,55.635238999995636,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,3,3,27,5,57.13987391599221,57.38984929100843,58.88528000001679,57.38511533301789,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,3,4,28,1,58.889872875006404,59.140848790993914,60.642197083012434,59.13565554100205,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,3,5,29,2,60.642197083012434,60.890882958017755,62.39235870799166,60.890882958017755,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,3,6,30,3,62.39235870799166,62.6420594160154,,62.6420594160154,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,3,7,31,7,,64.44122595799854,,,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,4,0,32,6,65.90796041599242,66.1563465000072,67.65213995799422,,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,4,1,33,0,67.65213995799422,67.89142566599185,69.39244062500075,67.89142566599185,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,4,2,34,2,69.39244062500075,69.64164375001565,71.14238220799598,69.64164375001565,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,4,3,35,4,71.14238220799598,71.39039970800513,72.8852996659989,71.39039970800513,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,4,4,36,3,72.89013729101862,73.13979216601001,74.63552841599449,73.13528279101592,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
white,1,4,5,37,1,74.64012670799275,74.89122845800011,76.39229179100948,74.88586604100419,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,4,6,38,7,76.39229179100948,76.6401582910039,78.1353656249994,76.6401582910039,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
gray,2,4,7,39,5,78.13945154100657,78.39006816601614,79.88532987501821,78.38530262501445,266481,001,2023-02-09_14h07.23.734,simple VEP,2022.2.4,None,
