color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,grating.started,blank.stopped,grating.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gray,2,0,0,0,6,18.685476874990854,18.937245541994344,18.937245541994344,,,,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,0,1,1,1,19.931692416997976,20.179232750000665,20.179232750000665,21.17206083299243,21.17206083299243,,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,0,2,2,3,21.17206083299243,21.413317999991705,21.413317999991705,22.41413150000153,22.41413150000153,21.413317999991705,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,0,3,3,0,22.41413150000153,22.663841999994474,22.663841999994474,23.664681624999503,23.664681624999503,22.663841999994474,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
gray,2,0,4,4,4,23.664681624999503,23.913670458001434,23.913670458001434,24.91420924999693,24.91420924999693,23.913670458001434,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
gray,2,0,5,5,7,24.91420924999693,25.162954125000397,25.162954125000397,26.155494791993988,26.155494791993988,25.162954125000397,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
gray,2,0,6,6,5,26.161250416989787,26.412504624997382,26.412504624997382,27.40556858299533,27.40556858299533,26.406065249990206,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,0,7,7,2,27.411426958002266,27.663117374991998,27.663117374991998,28.65570974998991,28.65570974998991,27.656055832994753,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
gray,2,1,0,8,4,28.66154524999729,28.913308666989906,28.913308666989906,29.91560441699403,29.91560441699403,28.90615949999483,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,1,1,9,3,29.91560441699403,30.163067916990258,30.163067916990258,31.155609875000664,31.155609875000664,30.163067916990258,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,1,2,10,0,31.16124824999133,31.413053083000705,31.413053083000705,32.405678832990816,32.405678832990816,31.40648604198941,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
gray,2,1,3,11,6,32.411767207988305,32.66342779199476,32.66342779199476,33.66487983299885,33.66487983299885,32.65624045798904,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
white,1,1,4,12,2,33.66487983299885,33.91381833299238,33.91381833299238,34.91481716699491,34.91481716699491,33.91381833299238,655939,001,2023-02-23_16h15.28.420,simple VEP,2022.2.4,None,
,,,,,,34.91481716699491,35.16315962499357,35.16315962499357,,,35.16315962499357,,,,,,,
