color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
white,1,0,0,0,0,12.066407833015546,12.310254333016928,13.303461792005692,,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
white,1,0,1,1,1,13.303461792005692,13.543992167018587,14.536928582994733,13.543992167018587,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
white,1,0,2,2,2,14.543278458004352,14.794810708001023,15.796444792009424,14.787277124996763,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,0,3,3,7,15.796444792009424,16.043984957999783,17.037207332992693,16.043984957999783,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,0,4,4,6,17.043406417011283,17.293375292007113,18.286872458003927,17.287207500019576,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,0,5,5,5,18.292891250021057,18.544457957992563,19.53688175001298,18.537815292016603,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,0,6,6,4,19.54331187499338,19.79386637499556,20.786867207993055,19.787266250001267,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
white,1,0,7,7,3,20.792720416997327,21.043555250013014,22.036916875018505,21.037473792006494,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
white,1,1,0,8,1,22.04245816700859,22.293352875014534,23.286928167013684,22.287433499994222,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,1,1,9,5,23.293291625013808,23.543518624996068,24.53719370800536,23.537455750018125,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
white,1,1,2,10,3,24.543620833021123,24.7931353750173,25.78709916700609,24.787255417002598,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,1,3,11,4,25.79345620801905,26.043504542001756,27.03716520802118,26.03744891702081,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
gray,2,1,4,12,6,27.043029124994064,27.292814999993425,28.28700041701086,27.287196999997832,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
white,1,1,5,13,2,28.292778667004313,28.543184458016185,29.536994875001255,28.53722516700509,744268,001,2023-02-09_17h06.59.820,simple VEP,2022.2.4,None,
