1.1970 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.8086 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1080]. Using actual size
7.0189 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.0197 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f91cb834910>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f918eb99490>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.0201 	EXP 	window1: mouseVisible = True
7.0211 	EXP 	window1: mouseVisible = False
7.0213 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.0214 	EXP 	window1: recordFrameIntervals = False
7.1020 	EXP 	window1: recordFrameIntervals = True
7.9396 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.8893 	EXP 	Created stimulus = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='stimulus', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.8955 	EXP 	Created blank = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([0.00392157, 0.00392157, 0.00392157]), fillColorSpace='rgb', fillRGB=array([0.00392157, 0.00392157, 0.00392157]), interpolate=True, lineColor=array([0.00392157, 0.00392157, 0.00392157]), lineColorSpace='rgb', lineRGB=array([0.00392157, 0.00392157, 0.00392157]), lineWidth=1.0, name='blank', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.9015 	EXP 	Imported StimList.xlsx as conditions, 8 conditions, 2 params
9.9022 	EXP 	Created sequence: random, trialTypes=8, nReps=5, seed=None
9.9024 	EXP 	New trial (rep=0, index=0): {'color': 'gray', 'trigger': 2}
9.9135 	WARNING 	t of last frame was 1974.21ms (=1/0)
9.9135 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
9.9135 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
9.9135 	EXP 	stimulus: autoDraw = True
10.1557 	EXP 	stimulus: autoDraw = False
10.1557 	EXP 	blank: autoDraw = True
11.6407 	EXP 	New trial (rep=0, index=1): {'color': 'gray', 'trigger': 2}
11.6515 	EXP 	blank: autoDraw = False
11.6515 	EXP 	blank: autoDraw = False
11.6515 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
11.6515 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
11.6515 	EXP 	stimulus: autoDraw = True
11.8896 	EXP 	stimulus: autoDraw = False
11.8896 	EXP 	stimulus: autoDraw = False
11.8896 	EXP 	blank: autoDraw = True
13.3734 	EXP 	New trial (rep=0, index=2): {'color': 'gray', 'trigger': 2}
13.3850 	EXP 	blank: autoDraw = False
13.3850 	EXP 	blank: autoDraw = False
13.3850 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
13.3850 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
13.3890 	EXP 	stimulus: autoDraw = True
13.6354 	EXP 	stimulus: autoDraw = False
13.6354 	EXP 	stimulus: autoDraw = False
13.6407 	EXP 	blank: autoDraw = True
15.1241 	EXP 	New trial (rep=0, index=3): {'color': 'gray', 'trigger': 2}
15.1350 	EXP 	blank: autoDraw = False
15.1350 	EXP 	blank: autoDraw = False
15.1350 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
15.1350 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
15.1391 	EXP 	stimulus: autoDraw = True
15.3851 	EXP 	stimulus: autoDraw = False
15.3851 	EXP 	stimulus: autoDraw = False
15.3896 	EXP 	blank: autoDraw = True
16.8734 	EXP 	New trial (rep=0, index=4): {'color': 'white', 'trigger': 1}
16.8850 	EXP 	blank: autoDraw = False
16.8850 	EXP 	blank: autoDraw = False
16.8850 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
16.8850 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
16.8892 	EXP 	stimulus: autoDraw = True
17.1350 	EXP 	stimulus: autoDraw = False
17.1350 	EXP 	stimulus: autoDraw = False
17.1393 	EXP 	blank: autoDraw = True
18.6235 	EXP 	New trial (rep=0, index=5): {'color': 'white', 'trigger': 1}
18.6352 	EXP 	blank: autoDraw = False
18.6352 	EXP 	blank: autoDraw = False
18.6352 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
18.6352 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
18.6394 	EXP 	stimulus: autoDraw = True
18.8851 	EXP 	stimulus: autoDraw = False
18.8851 	EXP 	stimulus: autoDraw = False
18.8896 	EXP 	blank: autoDraw = True
20.3747 	EXP 	New trial (rep=0, index=6): {'color': 'white', 'trigger': 1}
20.3851 	EXP 	blank: autoDraw = False
20.3851 	EXP 	blank: autoDraw = False
20.3851 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
20.3851 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
20.3895 	EXP 	stimulus: autoDraw = True
20.6351 	EXP 	stimulus: autoDraw = False
20.6351 	EXP 	stimulus: autoDraw = False
20.6397 	EXP 	blank: autoDraw = True
22.1255 	EXP 	New trial (rep=0, index=7): {'color': 'white', 'trigger': 1}
22.1352 	EXP 	blank: autoDraw = False
22.1352 	EXP 	blank: autoDraw = False
22.1352 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
22.1352 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
22.1396 	EXP 	stimulus: autoDraw = True
22.3851 	EXP 	stimulus: autoDraw = False
22.3851 	EXP 	stimulus: autoDraw = False
22.3894 	EXP 	blank: autoDraw = True
23.8736 	EXP 	New trial (rep=1, index=0): {'color': 'white', 'trigger': 1}
23.8851 	EXP 	blank: autoDraw = False
23.8851 	EXP 	blank: autoDraw = False
23.8851 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
23.8851 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
23.8896 	EXP 	stimulus: autoDraw = True
24.1354 	EXP 	stimulus: autoDraw = False
24.1354 	EXP 	stimulus: autoDraw = False
24.1409 	EXP 	blank: autoDraw = True
25.6369 	EXP 	New trial (rep=1, index=1): {'color': 'white', 'trigger': 1}
25.6429 	EXP 	blank: autoDraw = False
25.6429 	EXP 	blank: autoDraw = False
25.6429 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
25.6429 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
25.6429 	EXP 	stimulus: autoDraw = True
25.8900 	EXP 	stimulus: autoDraw = False
25.8900 	EXP 	stimulus: autoDraw = False
25.8900 	EXP 	blank: autoDraw = True
27.3738 	EXP 	New trial (rep=1, index=2): {'color': 'gray', 'trigger': 2}
27.3849 	EXP 	blank: autoDraw = False
27.3849 	EXP 	blank: autoDraw = False
27.3849 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
27.3849 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
27.3891 	EXP 	stimulus: autoDraw = True
27.6355 	EXP 	stimulus: autoDraw = False
27.6355 	EXP 	stimulus: autoDraw = False
27.6408 	EXP 	blank: autoDraw = True
29.1364 	EXP 	New trial (rep=1, index=3): {'color': 'white', 'trigger': 1}
29.1424 	EXP 	blank: autoDraw = False
29.1424 	EXP 	blank: autoDraw = False
29.1424 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
29.1424 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
29.1424 	EXP 	stimulus: autoDraw = True
29.3906 	EXP 	stimulus: autoDraw = False
29.3906 	EXP 	stimulus: autoDraw = False
29.3906 	EXP 	blank: autoDraw = True
30.8866 	EXP 	New trial (rep=1, index=4): {'color': 'gray', 'trigger': 2}
30.8927 	EXP 	blank: autoDraw = False
30.8927 	EXP 	blank: autoDraw = False
30.8927 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
30.8927 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
30.8927 	EXP 	stimulus: autoDraw = True
31.1402 	EXP 	stimulus: autoDraw = False
31.1402 	EXP 	stimulus: autoDraw = False
31.1402 	EXP 	blank: autoDraw = True
32.6253 	EXP 	New trial (rep=1, index=5): {'color': 'gray', 'trigger': 2}
32.6351 	EXP 	blank: autoDraw = False
32.6351 	EXP 	blank: autoDraw = False
32.6351 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
32.6351 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
32.6392 	EXP 	stimulus: autoDraw = True
32.8854 	EXP 	stimulus: autoDraw = False
32.8854 	EXP 	stimulus: autoDraw = False
32.8908 	EXP 	blank: autoDraw = True
34.3863 	EXP 	New trial (rep=1, index=6): {'color': 'white', 'trigger': 1}
34.3916 	EXP 	blank: autoDraw = False
34.3916 	EXP 	blank: autoDraw = False
34.3916 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
34.3916 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
34.3916 	EXP 	stimulus: autoDraw = True
34.6403 	EXP 	stimulus: autoDraw = False
34.6403 	EXP 	stimulus: autoDraw = False
34.6403 	EXP 	blank: autoDraw = True
36.1257 	EXP 	New trial (rep=1, index=7): {'color': 'gray', 'trigger': 2}
36.1348 	EXP 	blank: autoDraw = False
36.1348 	EXP 	blank: autoDraw = False
36.1348 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
36.1348 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
36.1391 	EXP 	stimulus: autoDraw = True
36.3853 	EXP 	stimulus: autoDraw = False
36.3853 	EXP 	stimulus: autoDraw = False
36.3896 	EXP 	blank: autoDraw = True
37.8738 	EXP 	New trial (rep=2, index=0): {'color': 'white', 'trigger': 1}
37.8852 	EXP 	blank: autoDraw = False
37.8852 	EXP 	blank: autoDraw = False
37.8852 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
37.8852 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
37.8900 	EXP 	stimulus: autoDraw = True
38.1352 	EXP 	stimulus: autoDraw = False
38.1352 	EXP 	stimulus: autoDraw = False
38.1393 	EXP 	blank: autoDraw = True
39.6238 	EXP 	New trial (rep=2, index=1): {'color': 'white', 'trigger': 1}
39.6354 	EXP 	blank: autoDraw = False
39.6354 	EXP 	blank: autoDraw = False
39.6354 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
39.6354 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
39.6398 	EXP 	stimulus: autoDraw = True
39.8853 	EXP 	stimulus: autoDraw = False
39.8853 	EXP 	stimulus: autoDraw = False
39.8898 	EXP 	blank: autoDraw = True
41.3733 	EXP 	New trial (rep=2, index=2): {'color': 'gray', 'trigger': 2}
41.3851 	EXP 	blank: autoDraw = False
41.3851 	EXP 	blank: autoDraw = False
41.3851 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
41.3851 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
41.3891 	EXP 	stimulus: autoDraw = True
41.6353 	EXP 	stimulus: autoDraw = False
41.6353 	EXP 	stimulus: autoDraw = False
41.6396 	EXP 	blank: autoDraw = True
43.1238 	EXP 	New trial (rep=2, index=3): {'color': 'gray', 'trigger': 2}
43.1350 	EXP 	blank: autoDraw = False
43.1350 	EXP 	blank: autoDraw = False
43.1350 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
43.1350 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
43.1400 	EXP 	stimulus: autoDraw = True
43.3853 	EXP 	stimulus: autoDraw = False
43.3853 	EXP 	stimulus: autoDraw = False
43.3897 	EXP 	blank: autoDraw = True
44.8749 	EXP 	New trial (rep=2, index=4): {'color': 'white', 'trigger': 1}
44.8850 	EXP 	blank: autoDraw = False
44.8850 	EXP 	blank: autoDraw = False
44.8850 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
44.8850 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
44.8892 	EXP 	stimulus: autoDraw = True
