trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,newfix.started,newfix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,9.542708791002951,9.542708791002951,9.724225625002873,9.724225625002873,9.724225625002873,9.724225625002873,9.889609708003263,9.889609708003263,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
1,0,1,0,,,,,9.889609708003263,9.889609708003263,10.058535791002214,10.058535791002214,10.058535791002214,10.058535791002214,10.244402666001406,10.244402666001406,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
2,0,2,0,,,,,10.244402666001406,10.244402666001406,10.412678541000787,10.412678541000787,10.412678541000787,10.412678541000787,10.578741000001173,10.578741000001173,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
3,0,3,0,,,,,10.578741000001173,10.578741000001173,10.739848500001244,10.739848500001244,10.739848500001244,10.739848500001244,10.904092333003064,10.904092333003064,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
4,0,4,0,,,,,10.904092333003064,10.904092333003064,11.062518583003111,11.062518583003111,11.062518583003111,11.062518583003111,11.222104250002303,11.222104250002303,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
5,0,5,0,,,,,11.222104250002303,11.222104250002303,11.394509791000019,11.394509791000019,11.394509791000019,11.394509791000019,11.554449500003102,11.554449500003102,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
6,0,6,0,,,,,11.554449500003102,11.554449500003102,11.720453708003333,11.720453708003333,11.720453708003333,11.720453708003333,11.881624166002439,11.881624166002439,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
7,0,7,0,,,,,11.881624166002439,11.881624166002439,12.04554579100295,12.04554579100295,12.04554579100295,12.04554579100295,12.227653541001928,12.227653541001928,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
8,0,8,0,,,,,12.227653541001928,12.227653541001928,12.411246458003006,12.411246458003006,12.411246458003006,12.411246458003006,12.579775208003412,12.579775208003412,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
9,0,9,0,,,,,12.579775208003412,12.579775208003412,12.742544250002538,12.742544250002538,12.742544250002538,12.742544250002538,12.909567166003399,12.909567166003399,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
10,0,10,0,,,,,12.909567166003399,12.909567166003399,13.077800833001675,13.077800833001675,13.077800833001675,13.077800833001675,13.245837250000477,13.245837250000477,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
11,0,11,0,,,,,13.245837250000477,13.245837250000477,13.42935608300104,13.42935608300104,13.42935608300104,13.42935608300104,13.595205166002415,13.595205166002415,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
12,0,12,0,,,,,13.595205166002415,13.595205166002415,13.757766000002448,13.757766000002448,13.757766000002448,13.757766000002448,13.922278625002946,13.922278625002946,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
13,0,13,0,,,,,13.922278625002946,13.922278625002946,14.091520208003203,14.091520208003203,14.091520208003203,14.091520208003203,14.261080375003075,14.261080375003075,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
14,0,14,0,,,,,14.261080375003075,14.261080375003075,14.424267083002633,14.424267083002633,14.424267083002633,14.424267083002633,14.585976416001358,14.585976416001358,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
15,0,15,0,,,,,14.585976416001358,14.585976416001358,14.751178958002129,14.751178958002129,14.751178958002129,14.751178958002129,14.917570416000672,14.917570416000672,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
16,0,16,0,,,,,14.917570416000672,14.917570416000672,15.086025083001005,15.086025083001005,15.086025083001005,15.086025083001005,15.248455166001804,15.248455166001804,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
17,0,17,0,,,,,15.248455166001804,15.248455166001804,15.41565150000315,15.41565150000315,15.41565150000315,15.41565150000315,15.585519750002277,15.585519750002277,,,844956,001,2023-03-18_09h45.08.784,simple VEP,2022.2.4,None,
