trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.020451834003325,14.020451834003325,14.212365209001291,14.212365209001291,14.212365209001291,14.212365209001291,14.370172249997267,14.370172249997267,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
1,0,1,0,14.370172249997267,14.370172249997267,14.534597625002789,14.534597625002789,14.534597625002789,14.534597625002789,14.69528249999712,14.69528249999712,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
2,0,2,0,14.69528249999712,14.69528249999712,14.853160917002242,14.853160917002242,14.853160917002242,14.853160917002242,15.011646917002508,15.011646917002508,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
3,0,3,0,15.011646917002508,15.011646917002508,15.167877334002696,15.167877334002696,15.167877334002696,15.167877334002696,15.32862500000192,15.32862500000192,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
4,0,4,0,15.32862500000192,15.32862500000192,15.494839749997482,15.494839749997482,15.494839749997482,15.494839749997482,15.655114041997876,15.655114041997876,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
5,0,5,0,15.655114041997876,15.655114041997876,15.820746167002653,15.820746167002653,15.820746167002653,15.820746167002653,15.986299625001266,15.986299625001266,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
6,0,6,0,15.986299625001266,15.986299625001266,16.145018791998154,16.145018791998154,16.145018791998154,16.145018791998154,16.311908709001727,16.311908709001727,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
7,0,7,0,16.311908709001727,16.311908709001727,16.478479999997944,16.478479999997944,16.478479999997944,16.478479999997944,16.634163417002128,16.634163417002128,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
8,0,8,0,16.634163417002128,16.634163417002128,16.80188083399844,16.80188083399844,16.80188083399844,16.80188083399844,16.962980791999144,16.962980791999144,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
9,0,9,0,16.962980791999144,16.962980791999144,17.120472666996648,17.120472666996648,17.120472666996648,17.120472666996648,17.288620125000307,17.288620125000307,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
10,0,10,0,17.288620125000307,17.288620125000307,17.45337416700204,17.45337416700204,17.45337416700204,17.45337416700204,17.612728499996592,17.612728499996592,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
11,0,11,0,17.612728499996592,17.612728499996592,17.770398708998982,17.770398708998982,17.770398708998982,17.770398708998982,17.929745125002228,17.929745125002228,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
12,0,12,0,17.929745125002228,17.929745125002228,18.08739512500324,18.08739512500324,18.08739512500324,18.08739512500324,18.245226166996872,18.245226166996872,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
13,0,13,0,18.245226166996872,18.245226166996872,18.406271084000764,18.406271084000764,18.406271084000764,18.406271084000764,18.56897675000073,18.56897675000073,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
14,0,14,0,18.56897675000073,18.56897675000073,18.72943374999886,18.72943374999886,18.72943374999886,18.72943374999886,18.887527209000837,18.887527209000837,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
15,0,15,0,18.887527209000837,18.887527209000837,19.052770666996366,19.052770666996366,19.052770666996366,19.052770666996366,19.211877041998378,19.211877041998378,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
16,0,16,0,19.211877041998378,19.211877041998378,19.369997458998114,19.369997458998114,19.369997458998114,19.369997458998114,19.538140999997267,19.538140999997267,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
17,0,17,0,19.538140999997267,19.538140999997267,19.70468112499657,19.70468112499657,19.70468112499657,19.70468112499657,19.87097570899641,19.87097570899641,336804,001,2023-03-17_12h29.18.500,simple VEP,2022.2.4,None,
