trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1725.5530915830022,1725.5530915830022,1726.0705414580007,1726.0705414580007,1726.0705414580007,1726.0705414580007,1726.5626998329972,1726.5626998329972,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
1,0,1,0,1726.5626998329972,1726.5626998329972,1727.0622394579987,1727.0622394579987,1727.0622394579987,1727.0622394579987,1727.5623413330031,1727.5623413330031,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
2,0,2,0,1727.5623413330031,1727.5623413330031,1728.0620971669996,1728.0620971669996,1728.0620971669996,1728.0620971669996,1728.5554549579974,1728.5554549579974,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
3,0,3,0,1728.5554549579974,1728.5554549579974,1729.0450748750009,1729.0450748750009,1729.0450748750009,1729.0450748750009,1729.545955833004,1729.545955833004,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
4,0,4,0,1729.545955833004,1729.545955833004,1730.0387591250037,1730.0387591250037,1730.0387591250037,1730.0387591250037,1730.5300944170012,1730.5300944170012,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
5,0,5,0,1730.5300944170012,1730.5300944170012,1731.0274823750005,1731.0274823750005,1731.0274823750005,1731.0274823750005,1731.5224811669977,1731.5224811669977,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
6,0,6,0,1731.5224811669977,1731.5224811669977,1732.011620792,1732.011620792,1732.011620792,1732.011620792,1732.5058541250037,1732.5058541250037,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
7,0,7,0,1732.5058541250037,1732.5058541250037,1732.9950967920013,1732.9950967920013,1732.9950967920013,1732.9950967920013,1733.488964958,1733.488964958,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
8,0,8,0,1733.488964958,1733.488964958,1733.978339250003,1733.978339250003,1733.978339250003,1733.978339250003,1734.472162500002,1734.472162500002,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
9,0,9,0,1734.472162500002,1734.472162500002,1734.9608568330004,1734.9608568330004,1734.9608568330004,1734.9608568330004,1735.455840667004,1735.455840667004,367442,001,2023-03-17_11h50.36.824,simple VEP,2022.2.4,None,
