1.5758 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.1693 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.5521 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.5536 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe9d0f1bbe0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe9ac24c5e0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5539 	EXP 	window1: mouseVisible = True
10.5549 	EXP 	window1: mouseVisible = False
10.5550 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.5550 	EXP 	window1: recordFrameIntervals = False
10.6349 	EXP 	window1: recordFrameIntervals = True
11.4689 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.6612 	EXP 	Created stimulus = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='stimulus', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.6648 	EXP 	Created blank = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([0.00392157, 0.00392157, 0.00392157]), fillColorSpace='rgb', fillRGB=array([0.00392157, 0.00392157, 0.00392157]), interpolate=True, lineColor=array([0.00392157, 0.00392157, 0.00392157]), lineColorSpace='rgb', lineRGB=array([0.00392157, 0.00392157, 0.00392157]), lineWidth=1.0, name='blank', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.6716 	EXP 	Imported StimList.xlsx as conditions, 8 conditions, 2 params
13.6737 	EXP 	Created sequence: random, trialTypes=8, nReps=5, seed=None
13.6739 	EXP 	New trial (rep=0, index=0): {'color': 'white', 'trigger': 1}
13.6871 	WARNING 	t of last frame was 2218.49ms (=1/0)
13.6871 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
13.6871 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
13.6871 	EXP 	stimulus: autoDraw = True
13.8220 	WARNING 	t of last frame was 32.78ms (=1/30)
13.9242 	EXP 	stimulus: autoDraw = False
13.9242 	EXP 	blank: autoDraw = True
15.4088 	EXP 	New trial (rep=0, index=1): {'color': 'white', 'trigger': 1}
15.4179 	EXP 	blank: autoDraw = False
15.4179 	EXP 	blank: autoDraw = False
15.4179 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
15.4179 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
15.4179 	EXP 	stimulus: autoDraw = True
15.6584 	EXP 	stimulus: autoDraw = False
15.6584 	EXP 	stimulus: autoDraw = False
15.6584 	EXP 	blank: autoDraw = True
17.1424 	EXP 	New trial (rep=0, index=2): {'color': 'gray', 'trigger': 2}
17.1507 	EXP 	blank: autoDraw = False
17.1507 	EXP 	blank: autoDraw = False
17.1507 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
17.1507 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
17.1570 	EXP 	stimulus: autoDraw = True
17.4015 	EXP 	stimulus: autoDraw = False
17.4015 	EXP 	stimulus: autoDraw = False
17.4075 	EXP 	blank: autoDraw = True
18.8926 	EXP 	New trial (rep=0, index=3): {'color': 'white', 'trigger': 1}
18.9011 	EXP 	blank: autoDraw = False
18.9011 	EXP 	blank: autoDraw = False
18.9011 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
18.9011 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
18.9073 	EXP 	stimulus: autoDraw = True
19.1511 	EXP 	stimulus: autoDraw = False
19.1511 	EXP 	stimulus: autoDraw = False
19.1571 	EXP 	blank: autoDraw = True
20.6431 	EXP 	New trial (rep=0, index=4): {'color': 'gray', 'trigger': 2}
20.6513 	EXP 	blank: autoDraw = False
20.6513 	EXP 	blank: autoDraw = False
20.6513 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
20.6513 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
20.6571 	EXP 	stimulus: autoDraw = True
20.9020 	EXP 	stimulus: autoDraw = False
20.9020 	EXP 	stimulus: autoDraw = False
20.9094 	EXP 	blank: autoDraw = True
22.4032 	EXP 	New trial (rep=0, index=5): {'color': 'gray', 'trigger': 2}
22.4104 	EXP 	blank: autoDraw = False
22.4104 	EXP 	blank: autoDraw = False
22.4104 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
22.4104 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
22.4104 	EXP 	stimulus: autoDraw = True
22.6683 	EXP 	stimulus: autoDraw = False
22.6683 	EXP 	stimulus: autoDraw = False
22.6683 	EXP 	blank: autoDraw = True
24.1526 	EXP 	New trial (rep=0, index=6): {'color': 'white', 'trigger': 1}
24.1584 	EXP 	blank: autoDraw = False
24.1584 	EXP 	blank: autoDraw = False
24.1584 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
24.1584 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
24.1584 	EXP 	stimulus: autoDraw = True
24.2131 	WARNING 	t of last frame was 28.23ms (=1/35)
24.4015 	EXP 	stimulus: autoDraw = False
24.4015 	EXP 	stimulus: autoDraw = False
24.4074 	EXP 	blank: autoDraw = True
25.4324 	DATA 	Keypress: escape
25.4379 	WARNING 	t of last frame was 78.10ms (=1/12)
25.9993 	EXP 	window1: mouseVisible = True
