trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.398981124999409,12.398981124999409,12.572025666995614,12.572025666995614,12.572025666995614,12.572025666995614,12.727605667001626,12.727605667001626,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
1,0,1,0,12.727605667001626,12.727605667001626,12.888960625001346,12.888960625001346,12.888960625001346,12.888960625001346,13.055583166998986,13.055583166998986,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
2,0,2,0,13.055583166998986,13.055583166998986,13.210540207997838,13.210540207997838,13.210540207997838,13.210540207997838,13.371966749997227,13.371966749997227,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
3,0,3,0,13.371966749997227,13.371966749997227,13.527677707999828,13.527677707999828,13.527677707999828,13.527677707999828,13.688828499994997,13.688828499994997,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
4,0,4,0,13.688828499994997,13.688828499994997,13.8457494999966,13.8457494999966,13.8457494999966,13.8457494999966,14.006661041996267,14.006661041996267,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
5,0,5,0,14.006661041996267,14.006661041996267,14.159804167000402,14.159804167000402,14.159804167000402,14.159804167000402,14.322201082999527,14.322201082999527,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
6,0,6,0,14.322201082999527,14.322201082999527,14.478380624997953,14.478380624997953,14.478380624997953,14.478380624997953,14.63879545799864,14.63879545799864,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
7,0,7,0,14.63879545799864,14.63879545799864,14.795320791999984,14.795320791999984,14.795320791999984,14.795320791999984,14.97249762499996,14.97249762499996,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
8,0,8,0,14.97249762499996,14.97249762499996,15.12892458299757,15.12892458299757,15.12892458299757,15.12892458299757,15.290586208000605,15.290586208000605,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
9,0,9,0,15.290586208000605,15.290586208000605,15.444989625000744,15.444989625000744,15.444989625000744,15.444989625000744,15.605596832996525,15.605596832996525,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
10,0,10,0,15.605596832996525,15.605596832996525,15.762729041998682,15.762729041998682,15.762729041998682,15.762729041998682,15.9223864999949,15.9223864999949,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
11,0,11,0,15.9223864999949,15.9223864999949,16.077916875001392,16.077916875001392,16.077916875001392,16.077916875001392,16.2388059579971,16.2388059579971,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
12,0,12,0,16.2388059579971,16.2388059579971,16.395104750001337,16.395104750001337,16.395104750001337,16.395104750001337,16.556365666998317,16.556365666998317,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
13,0,13,0,16.556365666998317,16.556365666998317,16.716403166996315,16.716403166996315,16.716403166996315,16.716403166996315,16.879647458001273,16.879647458001273,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
14,0,14,0,16.879647458001273,16.879647458001273,17.039065582997864,17.039065582997864,17.039065582997864,17.039065582997864,17.19601133299875,17.19601133299875,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
15,0,15,0,17.19601133299875,17.19601133299875,17.355723417000263,17.355723417000263,17.355723417000263,17.355723417000263,17.5117503750007,17.5117503750007,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
16,0,16,0,17.5117503750007,17.5117503750007,17.671984707994852,17.671984707994852,17.671984707994852,17.671984707994852,17.828982999999425,17.828982999999425,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
17,0,17,0,17.828982999999425,17.828982999999425,17.98882145799871,17.98882145799871,17.98882145799871,17.98882145799871,18.144903874999727,18.144903874999727,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
18,0,18,0,18.144903874999727,18.144903874999727,18.30550349999976,18.30550349999976,18.30550349999976,18.30550349999976,18.46276229200157,18.46276229200157,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
19,0,19,0,18.46276229200157,18.46276229200157,18.6221555000011,18.6221555000011,18.6221555000011,18.6221555000011,18.77704399999493,18.77704399999493,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
20,0,20,0,18.77704399999493,18.77704399999493,18.939028041997517,18.939028041997517,18.939028041997517,18.939028041997517,19.094345917001192,19.094345917001192,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
21,0,21,0,19.094345917001192,19.094345917001192,19.255457708000904,19.255457708000904,19.255457708000904,19.255457708000904,19.412359417001426,19.412359417001426,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
22,0,22,0,19.412359417001426,19.412359417001426,19.5722303750008,19.5722303750008,19.5722303750008,19.5722303750008,19.72649641699536,19.72649641699536,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
23,0,23,0,19.72649641699536,19.72649641699536,19.88893216699944,19.88893216699944,19.88893216699944,19.88893216699944,20.04635608299577,20.04635608299577,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
24,0,24,0,20.04635608299577,20.04635608299577,20.211668249998183,20.211668249998183,20.211668249998183,20.211668249998183,20.372251082997536,20.372251082997536,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
25,0,25,0,20.372251082997536,20.372251082997536,20.528727042001265,20.528727042001265,20.528727042001265,20.528727042001265,20.688599082997825,20.688599082997825,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
26,0,26,0,20.688599082997825,20.688599082997825,20.845358041995496,20.845358041995496,20.845358041995496,20.845358041995496,21.005688124998414,21.005688124998414,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
27,0,27,0,21.005688124998414,21.005688124998414,21.16123208299541,21.16123208299541,21.16123208299541,21.16123208299541,21.322096957999747,21.322096957999747,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
28,0,28,0,21.322096957999747,21.322096957999747,21.47887208299653,21.47887208299653,21.47887208299653,21.47887208299653,21.638823542001774,21.638823542001774,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
29,0,29,0,21.638823542001774,21.638823542001774,21.79471149999881,21.79471149999881,21.79471149999881,21.79471149999881,21.95554162500048,21.95554162500048,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
30,0,30,0,21.95554162500048,21.95554162500048,22.11314741699607,22.11314741699607,22.11314741699607,22.11314741699607,22.272273041999142,22.272273041999142,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
31,0,31,0,22.272273041999142,22.272273041999142,22.43018533299619,22.43018533299619,22.43018533299619,22.43018533299619,22.595985749998363,22.595985749998363,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
32,0,32,0,22.595985749998363,22.595985749998363,22.756050332995073,22.756050332995073,22.756050332995073,22.756050332995073,22.91165520800132,22.91165520800132,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
33,0,33,0,22.91165520800132,22.91165520800132,23.07212004200119,23.07212004200119,23.07212004200119,23.07212004200119,23.227056541996717,23.227056541996717,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
34,0,34,0,23.227056541996717,23.227056541996717,23.38889024999662,23.38889024999662,23.38889024999662,23.38889024999662,23.546115958000883,23.546115958000883,727136,001,2023-03-17_12h10.24.649,simple VEP,2022.2.4,None,
