trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,fixation.started,grating1_2.started,fixation_2.started,grating1_2.stopped,fixation_2.stopped,grating1.stopped,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.9965587919869,10.9965587919869,11.495531291991938,11.495531291991938,,,,,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
1,0,1,0,11.99363741700654,11.99363741700654,12.490618999989238,12.490618999989238,12.984695624996675,12.984695624996675,,,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
2,0,2,0,12.984695624996675,12.984695624996675,13.484166249982081,13.484166249982081,13.977186667005299,13.977186667005299,13.484166249982081,13.484166249982081,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
3,0,3,0,13.977186667005299,13.977186667005299,14.47569225000916,14.47569225000916,14.96669433300849,14.96669433300849,14.46708674999536,14.46708674999536,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
4,0,4,0,14.974801000003936,14.974801000003936,15.474233249988174,15.474233249988174,15.975946999998996,15.975946999998996,15.465965916984715,15.465965916984715,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
5,0,5,0,15.975946999998996,15.975946999998996,16.4743779579876,16.4743779579876,16.96579266700428,16.96579266700428,16.465937667002436,16.465937667002436,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
6,0,6,0,16.973888457985595,16.973888457985595,17.47554441698594,17.47554441698594,17.96528429200407,17.96528429200407,17.466533958009677,17.466533958009677,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
7,0,7,0,17.973411374987336,17.973411374987336,18.474347832991043,18.474347832991043,18.966457458009245,18.966457458009245,18.465948625002056,18.465948625002056,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
8,0,8,0,18.974572457984323,18.974572457984323,19.475311166985193,19.475311166985193,19.966087874985533,19.966087874985533,19.466190292005194,19.466190292005194,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
9,0,9,0,19.97452079199138,19.97452079199138,20.474076916987542,20.474076916987542,20.96597804198973,20.96597804198973,20.466071375005413,20.466071375005413,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
10,0,10,0,20.973977457993897,20.973977457993897,21.476086499984376,21.476086499984376,21.966409624990774,21.966409624990774,21.466823541995836,21.466823541995836,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
11,0,11,0,21.974435332987923,21.974435332987923,22.475135791988578,22.475135791988578,22.97672008301015,22.97672008301015,22.4661298749852,22.4661298749852,330093,001,2023-02-26_10h22.56.028,simple VEP,2022.2.4,None,
