1.1783 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.7940 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.1710 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.1727 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f89bc3218e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f89a85ca4c0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.1732 	EXP 	window1: mouseVisible = True
9.1742 	EXP 	window1: mouseVisible = False
9.1743 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.1743 	EXP 	window1: recordFrameIntervals = False
9.2540 	EXP 	window1: recordFrameIntervals = True
10.0879 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.0432 	EXP 	Created stimulus = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='stimulus', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.0462 	EXP 	Created blank = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([0.00392157, 0.00392157, 0.00392157]), fillColorSpace='rgb', fillRGB=array([0.00392157, 0.00392157, 0.00392157]), interpolate=True, lineColor=array([0.00392157, 0.00392157, 0.00392157]), lineColorSpace='rgb', lineRGB=array([0.00392157, 0.00392157, 0.00392157]), lineWidth=1.0, name='blank', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.0524 	EXP 	Imported StimList.xlsx as conditions, 8 conditions, 2 params
12.0545 	EXP 	Created sequence: random, trialTypes=8, nReps=10, seed=None
12.0547 	EXP 	New trial (rep=0, index=0): {'color': 'white', 'trigger': 1}
12.0664 	WARNING 	t of last frame was 1978.80ms (=1/0)
12.0664 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
12.0664 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
12.0664 	EXP 	stimulus: autoDraw = True
12.3103 	EXP 	stimulus: autoDraw = False
12.3103 	EXP 	blank: autoDraw = True
13.2946 	EXP 	New trial (rep=0, index=1): {'color': 'white', 'trigger': 1}
13.3035 	EXP 	blank: autoDraw = False
13.3035 	EXP 	blank: autoDraw = False
13.3035 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
13.3035 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
13.3035 	EXP 	stimulus: autoDraw = True
13.5440 	EXP 	stimulus: autoDraw = False
13.5440 	EXP 	stimulus: autoDraw = False
13.5440 	EXP 	blank: autoDraw = True
14.5286 	EXP 	New trial (rep=0, index=2): {'color': 'white', 'trigger': 1}
14.5369 	EXP 	blank: autoDraw = False
14.5369 	EXP 	blank: autoDraw = False
14.5369 	EXP 	stimulus: fillColor = <psychopy.colors.Color: white, alpha=1.0>
14.5369 	EXP 	stimulus: borderColor = <psychopy.colors.Color: white, alpha=1.0>
14.5433 	EXP 	stimulus: autoDraw = True
14.7873 	EXP 	stimulus: autoDraw = False
14.7873 	EXP 	stimulus: autoDraw = False
14.7948 	EXP 	blank: autoDraw = True
15.7885 	EXP 	New trial (rep=0, index=3): {'color': 'gray', 'trigger': 2}
15.7964 	EXP 	blank: autoDraw = False
15.7964 	EXP 	blank: autoDraw = False
15.7964 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
15.7964 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
15.7964 	EXP 	stimulus: autoDraw = True
16.0440 	EXP 	stimulus: autoDraw = False
16.0440 	EXP 	stimulus: autoDraw = False
16.0440 	EXP 	blank: autoDraw = True
17.0290 	EXP 	New trial (rep=0, index=4): {'color': 'gray', 'trigger': 2}
17.0372 	EXP 	blank: autoDraw = False
17.0372 	EXP 	blank: autoDraw = False
17.0372 	EXP 	stimulus: fillColor = <psychopy.colors.Color: gray, alpha=1.0>
17.0372 	EXP 	stimulus: borderColor = <psychopy.colors.Color: gray, alpha=1.0>
17.0434 	EXP 	stimulus: autoDraw = True
