face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/12.jpg,2,0,0,0,51,9.551428291997581,10.73644449999847,10.73644449999847,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,1,1,40,10.876265374998184,12.00580487499974,12.00580487499974,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,2,2,55,12.203525624998292,13.317466832999344,13.317466832999344,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/26.jpg,2,0,3,3,65,13.520626249999623,14.64353429199764,14.64353429199764,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/29.jpg,2,0,4,4,68,14.844568166998215,16.029883957999118,16.029883957999118,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/74.jpg,1,0,5,5,23,16.237469749998127,17.297213374997227,17.297213374997227,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/70.jpg,1,0,6,6,19,17.529564916996605,18.58169849999831,18.58169849999831,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/35.jpg,2,0,7,7,74,18.828752916997473,19.929140041997016,19.929140041997016,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/15.jpg,2,0,8,8,54,20.120797707997554,21.239356124999176,21.239356124999176,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/76.jpg,1,0,9,9,25,21.44451987499997,22.66528324999672,22.66528324999672,849038,001,2023-03-18_10h50.50.267,N170,2022.2.4,None,
