face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,Stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/75.jpg,1,0,0,0,34,11.363712624999607,12.557446541999525,12.557446541999525,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/45.jpg,1,0,1,1,4,12.786866624999675,13.891763292001997,13.891763292001997,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/25.jpg,2,0,2,2,64,14.136991583000054,15.292383791998873,15.292383791998873,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/67.jpg,1,0,3,3,26,15.453559333000157,16.534361082998657,16.534361082998657,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/65.jpg,1,0,4,4,24,16.770278042000427,17.81779616700078,17.81779616700078,18.060350416999427,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/70.jpg,1,0,5,5,29,18.060350416999427,19.150558458000887,19.150558458000887,19.39447929200105,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/53.jpg,1,0,6,6,12,19.39447929200105,20.469332042001042,20.469332042001042,20.709945082999184,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/43.jpg,1,0,7,7,2,20.709945082999184,21.739293124999676,21.739293124999676,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/20.jpg,2,0,8,8,59,21.979420750001736,23.249452957999893,23.249452957999893,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/42.jpg,1,0,9,9,1,23.420314875002077,24.527169542001502,24.527169542001502,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/48.jpg,1,0,10,10,7,24.762267417001567,25.891942166999797,25.891942166999797,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/31.jpg,2,0,11,11,70,26.136880166999617,27.275200083000527,27.275200083000527,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/50.jpg,1,0,12,12,9,27.459696207999514,28.54335945799903,28.54335945799903,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/8.jpg,2,0,13,13,47,28.777049874999648,29.94895550000001,29.94895550000001,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/12.jpg,2,0,14,14,51,30.137012125000183,31.30914974999905,31.30914974999905,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/49.jpg,1,0,15,15,8,31.503632625001046,32.64856591699936,32.64856591699936,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/62.jpg,1,0,16,16,21,32.8774814999997,33.950191291998635,33.950191291998635,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/9.jpg,2,0,17,17,48,34.19489520800198,35.283664417002,35.283664417002,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/39.jpg,2,0,18,18,78,35.47040329200172,36.624210875001154,36.624210875001154,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/59.jpg,1,0,19,19,18,36.82045983300122,37.92140145799931,37.92140145799931,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,20,20,40,38.15392229200006,39.293689000001905,39.293689000001905,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/37.jpg,2,0,21,21,76,39.487031542001205,40.61560483300127,40.61560483300127,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/64.jpg,1,0,22,22,23,40.82045545800065,41.93837345800057,41.93837345800057,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/34.jpg,2,0,23,23,73,42.17034387500098,43.36892608299968,43.36892608299968,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/47.jpg,1,0,24,24,6,43.55360933300108,44.67102737499954,44.67102737499954,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/38.jpg,2,0,25,25,77,44.91189350000059,46.09527587499906,46.09527587499906,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/24.jpg,2,0,26,26,63,46.28710837499966,47.38171145800152,47.38171145800152,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/21.jpg,2,0,27,27,60,47.58712733300126,48.73723641700053,48.73723641700053,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/68.jpg,1,0,28,28,27,48.94361391699931,50.07392812499893,50.07392812499893,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/44.jpg,1,0,29,29,3,50.31194895799854,51.35023716700016,51.35023716700016,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/22.jpg,2,0,30,30,61,51.595481042000756,52.78031658300097,52.78031658300097,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/4.jpg,2,0,31,31,43,52.95996733300126,54.24468891699871,54.24468891699871,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/33.jpg,2,0,32,32,72,54.443401249998715,55.685574667000765,55.685574667000765,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/18.jpg,2,0,33,33,57,55.887139667000156,57.017434958001104,57.017434958001104,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/17.jpg,2,0,34,34,56,57.23705916700055,58.361351583000214,58.361351583000214,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/40.jpg,2,0,35,35,79,58.56046537500151,59.75076970800001,59.75076970800001,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/55.jpg,1,0,36,36,14,59.953855083000235,61.09535983300157,61.09535983300157,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/2.jpg,2,0,37,37,41,61.32094470800075,62.40085041700149,62.40085041700149,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/13.jpg,2,0,38,38,52,62.59335995800211,63.74835087500105,63.74835087500105,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/58.jpg,1,0,39,39,17,63.953991333000886,65.12480670800142,65.12480670800142,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/19.jpg,2,0,40,40,58,65.36152162500002,66.61209495799994,66.61209495799994,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/69.jpg,1,0,41,41,28,66.80387608299861,67.95808770800068,67.95808770800068,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/6.jpg,2,0,42,42,45,68.19550750000053,69.35014370800127,69.35014370800127,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/57.jpg,1,0,43,43,16,69.5424748330006,70.70464637500118,70.70464637500118,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/28.jpg,2,0,44,44,67,70.93708004200016,72.0944531669993,72.0944531669993,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/71.jpg,1,0,45,45,30,72.287175458001,73.41900016699947,73.41900016699947,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/29.jpg,2,0,46,46,68,73.65380100000039,74.92986095800006,74.92986095800006,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/78.jpg,1,0,47,47,37,75.12051354199866,76.28482570800043,76.28482570800043,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/15.jpg,2,0,48,48,54,76.52074191700012,77.63875304199973,77.63875304199973,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/63.jpg,1,0,49,49,22,77.82692183299878,78.95792658299979,78.95792658299979,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/74.jpg,1,0,50,50,33,79.18722587500088,80.23315308300153,80.23315308300153,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/3.jpg,2,0,51,51,42,80.47818754200125,81.71176275000107,81.71176275000107,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/10.jpg,2,0,52,52,49,81.90393687500182,83.0550201670012,83.0550201670012,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,53,53,55,83.24361708300057,84.3570752500018,84.3570752500018,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/26.jpg,2,0,54,54,65,84.56057816700195,85.74529800000164,85.74529800000164,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/61.jpg,1,0,55,55,20,85.95388449999882,87.10413745800179,87.10413745800179,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/27.jpg,2,0,56,56,66,87.33706408299986,88.4546658750005,88.4546658750005,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/32.jpg,2,0,57,57,71,88.64314224999907,89.78621966699939,89.78621966699939,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/77.jpg,1,0,58,58,36,89.98734799999875,91.05427766700086,91.05427766700086,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/79.jpg,1,0,59,59,38,91.29572291699878,92.54451766700004,92.54451766700004,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/11.jpg,2,0,60,60,50,92.78717287499967,93.93370179200065,93.93370179200065,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/36.jpg,2,0,61,61,75,94.12082112500138,95.38565000000017,95.38565000000017,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/35.jpg,2,0,62,62,74,95.57062462500107,96.69578895800078,96.69578895800078,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/46.jpg,1,0,63,63,5,96.92028375000154,98.10077920800177,98.10077920800177,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/5.jpg,2,0,64,64,44,98.32805999999982,99.54670729200006,99.54670729200006,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/7.jpg,2,0,65,65,46,99.73729812500096,100.95830004199888,100.95830004199888,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/56.jpg,1,0,66,66,15,101.15332416700039,102.26694412500001,102.26694412500001,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/14.jpg,2,0,67,67,53,102.48741787499966,103.7154855000008,103.7154855000008,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/30.jpg,2,0,68,68,69,103.88737020800181,105.04672175000087,105.04672175000087,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/73.jpg,1,0,69,69,32,105.27243054200153,106.56761458300025,106.56761458300025,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/52.jpg,1,0,70,70,11,106.80380425000112,107.8897447499985,107.8897447499985,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/51.jpg,1,0,71,71,10,108.12857166699905,109.27732037500027,109.27732037500027,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/72.jpg,1,0,72,72,31,109.52058825000131,110.66093379200174,110.66093379200174,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/41.jpg,1,0,73,73,0,110.90382483299982,112.01581433300089,112.01581433300089,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/54.jpg,1,0,74,74,13,112.25387583300108,113.52092670799902,113.52092670799902,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/80.jpg,1,0,75,75,39,113.74801216700143,114.77654079200147,114.77654079200147,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/76.jpg,1,0,76,76,35,115.02085670800079,116.13214325000081,116.13214325000081,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/60.jpg,1,0,77,77,19,116.37052812500042,117.51503524999862,117.51503524999862,,473925,001,2023-03-18_11h03.24.458,N170,2022.2.4,None,
