face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/59.jpg,1,0,0,0,8,10.26737562499693,11.438118874997599,11.438118874997599,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/72.jpg,1,0,1,1,21,11.646297749997757,12.836381833996711,12.836381833996711,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/51.jpg,1,0,2,2,0,13.07175791699774,14.30036195899811,14.30036195899811,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/67.jpg,1,0,3,3,16,14.537256083996908,15.608103124999616,15.608103124999616,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/12.jpg,2,0,4,4,51,15.845970458998636,17.033430833998864,17.033430833998864,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/18.jpg,2,0,5,5,57,17.16256649999923,18.424614916999417,18.424614916999417,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/30.jpg,2,0,6,6,69,18.602790291999554,19.82810624999911,19.82810624999911,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/2.jpg,2,0,7,7,41,20.029058749998512,21.123989583997172,21.123989583997172,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,8,8,55,21.336156708999624,22.44194491699818,22.44194491699818,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/85.jpg,1,0,9,9,34,22.645883124998363,23.778853458999947,23.778853458999947,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/40.jpg,2,0,10,10,79,24.01306087499688,25.1467335419984,25.1467335419984,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/63.jpg,1,0,11,11,12,25.329425874999288,26.38222054200014,26.38222054200014,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/35.jpg,2,0,12,12,74,26.621574708999105,27.776510333998885,27.776510333998885,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/29.jpg,2,0,13,13,68,27.968748166997102,29.06075508399954,29.06075508399954,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/54.jpg,1,0,14,14,3,29.27043324999977,30.427163416999974,30.427163416999974,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,15,15,40,30.662468291997357,31.891983833997074,31.891983833997074,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/25.jpg,2,0,16,16,64,32.08602670899927,33.26444729200011,33.26444729200011,733101,001,2023-03-18_10h40.51.298,N170,2022.2.4,None,
