face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,Stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/24.jpg,2,0,26,26,63,45.64341137500014,46.76652987499983,46.76652987499983,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/70.jpg,1,0,27,27,19,46.96986495799865,48.14166316699993,48.14166316699993,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/69.jpg,1,0,28,28,18,48.3935610419976,49.54458254199926,49.54458254199926,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/54.jpg,1,0,29,29,3,49.79222304200084,50.848654458000965,50.848654458000965,51.093728083000315,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/73.jpg,1,0,30,30,22,51.093728083000315,52.1509597080003,52.1509597080003,52.39433216699763,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/21.jpg,2,0,31,31,60,52.39433216699763,53.54310791699754,53.54310791699754,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/56.jpg,1,0,32,32,5,53.736020542000915,54.87808849999783,54.87808849999783,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/51.jpg,1,0,33,33,0,55.119963375000225,56.18179274999784,56.18179274999784,56.42704070800028,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/33.jpg,2,0,34,34,72,56.42704070800028,57.59604183299962,57.59604183299962,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/11.jpg,2,0,35,35,50,57.80313712499992,58.93002041699947,58.93002041699947,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/3.jpg,2,0,36,36,42,59.15261950000058,60.34490879199802,60.34490879199802,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/26.jpg,2,0,37,37,65,60.553757707999466,61.782938707998255,61.782938707998255,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/89.jpg,1,0,38,38,38,62.00322079199759,63.10970158299824,63.10970158299824,63.35294412499934,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/76.jpg,1,0,39,39,25,63.35294412499934,64.48358091699993,64.48358091699993,64.72729550000076,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/65.jpg,1,0,40,40,14,64.72729550000076,65.81581133299915,65.81581133299915,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/31.jpg,2,0,41,41,70,66.0528046670006,67.2981269999982,67.2981269999982,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/19.jpg,2,0,42,42,58,67.51031970799886,68.61051079200115,68.61051079200115,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/52.jpg,1,0,43,43,1,68.81973949999883,69.90798524999991,69.90798524999991,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/71.jpg,1,0,44,44,20,70.15263337500073,71.3560943329976,71.3560943329976,71.6028511250006,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/15.jpg,2,0,45,45,54,71.6028511250006,72.82965270799832,72.82965270799832,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/86.jpg,1,0,46,46,35,73.0363382079995,74.18807195800036,74.18807195800036,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/80.jpg,1,0,47,47,29,74.43645874999856,75.52380633299981,75.52380633299981,75.76988895799877,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/2.jpg,2,0,48,48,41,75.76988895799877,77.08449449999898,77.08449449999898,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/22.jpg,2,0,49,49,61,77.28630087499914,78.48798016699948,78.48798016699948,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/8.jpg,2,0,50,50,47,78.70321887499813,79.79747912499806,79.79747912499806,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/82.jpg,1,0,51,51,31,80.02614345799884,81.04029287500089,81.04029287500089,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/13.jpg,2,0,52,52,52,81.28628754199963,82.4494217499996,82.4494217499996,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/88.jpg,1,0,53,53,37,82.65805929199996,83.70276941699922,83.70276941699922,83.9448123330003,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,54,54,40,83.9448123330003,85.05687666700032,85.05687666700032,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/81.jpg,1,0,55,55,30,85.25286383300045,86.39976720800041,86.39976720800041,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
,,,,,,86.63614716699885,,,,,,,,,,
