face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/74.jpg,1,0,0,0,23,9.946050999998988,11.091567499999655,11.091567499999655,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/70.jpg,1,0,1,1,19,11.290405040999758,12.406672582997999,12.406672582997999,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/84.jpg,1,0,2,2,33,12.631990624999162,13.738397707998956,13.738397707998956,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/54.jpg,1,0,3,3,3,13.974556957997265,15.046353290999832,15.046353290999832,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/21.jpg,2,0,4,4,60,15.284447624999302,16.500213999999687,16.500213999999687,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/81.jpg,1,0,5,5,30,16.629748749997816,17.773627208000107,17.773627208000107,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/24.jpg,2,0,6,6,63,18.007752249999612,19.214113999998517,19.214113999998517,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/63.jpg,1,0,7,7,12,19.391156999998202,20.5912658749985,20.5912658749985,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/39.jpg,2,0,8,8,78,20.824440624997806,21.899806124998577,21.899806124998577,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/86.jpg,1,0,9,9,35,22.091129958000238,23.219508457998018,23.219508457998018,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/78.jpg,1,0,10,10,27,23.457734874999005,24.53853345799871,24.53853345799871,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/28.jpg,2,0,11,11,67,24.774433582999336,25.896032665998064,25.896032665998064,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/87.jpg,1,0,12,12,36,26.08080979099759,27.206171124998946,27.206171124998946,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/34.jpg,2,0,13,13,73,27.441107290997024,28.57211045799704,28.57211045799704,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/6.jpg,2,0,14,14,45,28.757757082999888,29.894701874996827,29.894701874996827,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/64.jpg,1,0,15,15,13,30.097475208000105,31.23563699999795,31.23563699999795,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/20.jpg,2,0,16,16,59,31.474412499999744,32.557734040998184,32.557734040998184,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/5.jpg,2,0,17,17,44,32.747517874999176,33.97844008299944,33.97844008299944,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/8.jpg,2,0,18,18,47,34.1810956249974,35.38585387499916,35.38585387499916,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/51.jpg,1,0,19,19,0,35.59132299999692,36.6773036659979,36.6773036659979,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/69.jpg,1,0,20,20,18,36.916251790997194,38.00491516599868,38.00491516599868,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/65.jpg,1,0,21,21,14,38.24863974999971,39.48097491599765,39.48097491599765,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/52.jpg,1,0,22,22,1,39.72442249999949,40.801479415997164,40.801479415997164,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/80.jpg,1,0,23,23,29,41.049202957998205,42.11365633300011,42.11365633300011,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/83.jpg,1,0,24,24,32,42.35774833299729,43.44346808299815,43.44346808299815,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/35.jpg,2,0,25,25,74,43.681845874998544,44.888336041,44.888336041,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/12.jpg,2,0,26,26,51,45.063263374999224,46.32440249999854,46.32440249999854,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/67.jpg,1,0,27,27,16,46.52462820799701,47.626245749997906,47.626245749997906,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/7.jpg,2,0,28,28,46,47.85802166599751,48.93410699999731,48.93410699999731,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/72.jpg,1,0,29,29,21,49.12462862499888,50.29938904099981,50.29938904099981,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/10.jpg,2,0,30,30,49,50.53156024999771,51.66959374999715,51.66959374999715,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/25.jpg,2,0,31,31,64,51.857961333000276,53.02217004100021,53.02217004100021,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/90.jpg,1,0,32,32,39,53.22470699999758,54.30399820799721,54.30399820799721,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/57.jpg,1,0,33,33,6,54.540957124998386,55.681974832998094,55.681974832998094,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/17.jpg,2,0,34,34,56,55.92448179100029,57.110782040999766,57.110782040999766,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/31.jpg,2,0,35,35,70,57.297660915999586,58.37921020799695,58.37921020799695,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/76.jpg,1,0,36,36,25,58.58127595800033,59.67201091599782,59.67201091599782,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/36.jpg,2,0,37,37,75,59.90845174999777,61.01256120799735,61.01256120799735,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/62.jpg,1,0,38,38,11,61.191329624998616,62.24371791599697,62.24371791599697,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/60.jpg,1,0,39,39,9,62.48215591599728,63.747892749997845,63.747892749997845,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/68.jpg,1,0,40,40,17,63.99117366599967,65.24576175000038,65.24576175000038,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/26.jpg,2,0,41,41,65,65.4817666659983,66.57384079099938,66.57384079099938,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/33.jpg,2,0,42,42,72,66.7580468749984,67.93973204099893,67.93973204099893,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/15.jpg,2,0,43,43,54,68.14140016599777,69.28016633299922,69.28016633299922,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/58.jpg,1,0,44,44,7,69.48112887499883,70.60491491599896,70.60491491599896,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/85.jpg,1,0,45,45,34,70.84117483299997,72.04966754099951,72.04966754099951,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/18.jpg,2,0,46,46,57,72.29111129099692,73.50547020799786,73.50547020799786,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/55.jpg,1,0,47,47,4,73.6913424159975,74.7467517499972,74.7467517499972,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/32.jpg,2,0,48,48,71,74.98214924999775,76.26821966599891,76.26821966599891,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/13.jpg,2,0,49,49,52,76.45810312499816,77.56956295799682,77.56956295799682,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/29.jpg,2,0,50,50,68,77.77478012499705,78.90650149999783,78.90650149999783,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/37.jpg,2,0,51,51,76,79.115077749997,80.42055487499965,80.42055487499965,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/11.jpg,2,0,52,52,50,80.62503424999886,81.82172708299913,81.82172708299913,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/30.jpg,2,0,53,53,69,82.01433554100004,83.17290054099794,83.17290054099794,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/89.jpg,1,0,54,54,38,83.3808435409992,84.5109058329981,84.5109058329981,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,55,55,40,84.74163612499979,85.85658624999996,85.85658624999996,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/53.jpg,1,0,56,56,2,86.04789533299845,87.19264287499755,87.19264287499755,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/22.jpg,2,0,57,57,61,87.4247096250001,88.58385449999696,88.58385449999696,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,58,58,55,88.77483991599729,89.9279839999981,89.9279839999981,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/79.jpg,1,0,59,59,28,90.12461820799945,91.26496858300015,91.26496858300015,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/59.jpg,1,0,60,60,8,91.49131220799973,92.57372120799846,92.57372120799846,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/3.jpg,2,0,61,61,42,92.80810287499844,94.05009516599966,94.05009516599966,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/4.jpg,2,0,62,62,43,94.2416147499971,95.40356479099864,95.40356479099864,553372,001,2023-03-18_10h58.39.216,N170,2022.2.4,None,
