face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/12.jpg,2,0,0,0,51,8.773140958001022,10.0083406249978,10.0083406249978,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/79.jpg,1,0,1,1,38,10.132790957999532,11.283023832998879,11.283023832998879,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/39.jpg,2,0,2,2,78,11.516285290999804,12.761138166002638,12.761138166002638,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/17.jpg,2,0,3,3,56,12.932901749998564,14.105699375002587,14.105699375002587,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/64.jpg,1,0,4,4,23,14.29939579100028,15.399098333000438,15.399098333000438,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,5,5,55,15.63285616599751,16.831355875001464,16.831355875001464,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/67.jpg,1,0,6,6,26,17.021758957998827,18.135551332998148,18.135551332998148,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/55.jpg,1,0,7,7,14,18.366182999998273,19.472551915998338,19.472551915998338,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/7.jpg,2,0,8,8,46,19.71618166600092,20.928871458003414,20.928871458003414,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/21.jpg,2,0,9,9,60,21.11631791599939,22.334659207997902,22.334659207997902,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/9.jpg,2,0,10,10,48,22.53885054100101,23.840819791003014,23.840819791003014,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/shoes/mens/48.jpg,1,0,11,11,7,24.04972770799941,25.185549291003554,25.185549291003554,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/26.jpg,2,0,12,12,65,25.42403658299736,26.57239704100357,26.57239704100357,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/8.jpg,2,0,13,13,47,26.76632645799691,27.901411208003992,27.901411208003992,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,14,14,40,28.105669374999707,29.19636612499744,29.19636612499744,008699,001,2023-03-19_08h00.08.165,N170,2022.2.4,None,
