face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/79.jpg,1,0,36,36,28,60.73049045899825,61.91513850000047,61.91513850000047,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/60.jpg,1,0,37,37,9,62.16293199999927,63.26520899999741,63.26520899999741,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/34.jpg,2,0,38,38,73,63.50456487499832,64.62427358399873,64.62427358399873,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/71.jpg,1,0,39,39,20,64.81175099999746,66.01753008399828,66.01753008399828,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/1.jpg,2,0,40,40,40,66.24680287500087,67.38626833399758,67.38626833399758,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/90.jpg,1,0,41,41,39,67.57753883400073,68.77399229200091,68.77399229200091,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/14.jpg,2,0,42,42,53,69.01283729200077,70.2808999589979,70.2808999589979,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/8.jpg,2,0,43,43,47,70.4713778339974,71.58872608399906,71.58872608399906,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/24.jpg,2,0,44,44,63,71.79568391700013,73.00125537499844,73.00125537499844,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/25.jpg,2,0,45,45,64,73.21298329199999,74.33882704200005,74.33882704200005,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/33.jpg,2,0,46,46,72,74.54586191699855,75.61967679199734,75.61967679199734,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/52.jpg,1,0,47,47,1,75.82965137499923,76.89877324999907,76.89877324999907,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/7.jpg,2,0,48,48,46,77.1380477499988,78.42926533399805,78.42926533399805,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/80.jpg,1,0,49,49,29,78.62153354199836,79.6493527499988,79.6493527499988,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/65.jpg,1,0,50,50,14,79.88007904199912,80.96046099999876,80.96046099999876,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/53.jpg,1,0,51,51,2,81.20476137500009,82.4421532919987,82.4421532919987,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/2.jpg,2,0,52,52,41,82.68830945899754,83.78334804199767,83.78334804199767,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/75.jpg,1,0,53,53,24,83.96118737500001,85.07363812499898,85.07363812499898,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/3.jpg,2,0,54,54,42,85.30467491699892,86.42665241699797,86.42665241699797,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/62.jpg,1,0,55,55,11,86.62145387499913,87.73197674999756,87.73197674999756,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/84.jpg,1,0,56,56,33,87.97137233399917,89.21602200000052,89.21602200000052,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/27.jpg,2,0,57,57,66,89.45530037500066,90.63430391699876,90.63430391699876,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/72.jpg,1,0,58,58,21,90.82859445899885,91.8748794589992,91.8748794589992,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/17.jpg,2,0,59,59,56,92.1131448749984,93.20093379199898,93.20093379199898,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/29.jpg,2,0,60,60,68,93.39470791699932,94.49986162499772,94.49986162499772,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/36.jpg,2,0,61,61,75,94.70520566699997,95.82814108399907,95.82814108399907,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
,,,,,,96.0384957919996,,,,,,,,,
